row_label_raw,row_label_full,Năm trước > Số đầu năm > Lợi nhuận trong năm,Vốn góp > Năm trước > 3.500.000.000.000 > -,Quỹ đầu tư phát triển > Năm trước > 222.504.337.142 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước > 195.543.852.079 > 330.825.911.235,Đơn vị tính: VND Tổng cộng > Năm trước > 3.918.048.189.221 > 330.825.911.235,numeric__Vốn góp > Năm trước > 3.500.000.000.000 > -,numeric__Quỹ đầu tư phát triển > Năm trước > 222.504.337.142 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 195.543.852.079 > 330.825.911.235,numeric__Đơn vị tính: VND Tổng cộng > Năm trước > 3.918.048.189.221 > 330.825.911.235
Giảm trích lập quỹ đầu tư phát triển,Giảm trích lập quỹ đầu tư phát triển,Giảm trích lập quỹ đầu tư phát triển,-,(32.407.444.487),32.407.444.487,-,,-32407444487.0,32407444487.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,(31.327.877.193),(31.327.877.193),,,-31327877193.0,-31327877193.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,(227.150.000.000),(227.150.000.000),,,-227150000000.0,-227150000000.0
Tăng khác,Tăng khác,Tăng khác,-,-,312.896.887,312.896.887,,,312896887.0,312896887.0
Số cuối năm,Số cuối năm,Số cuối năm,3.500.000.000.000,190.096.892.655,300.612.227.495,3.990.709.120.150,3500000000000.0,190096892655.0,300612227495.0,3990709120150.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,3.500.000.000.000,190.096.892.655,300.612.227.495,3.990.709.120.150,3500000000000.0,190096892655.0,300612227495.0,3990709120150.0
Lợi nhuận trong năm,Năm nay > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,350.082.250.702,350.082.250.702,,,350082250702.0,350082250702.0
"Trích lập quỹ khen thưởng, phúc lợi (*)","Năm nay > Trích lập quỹ khen thưởng, phúc lợi (*)","Trích lập quỹ khen thưởng, phúc lợi (*)",-,-,(38.990.597.885),(38.990.597.885),,,-38990597885.0,-38990597885.0
Chia cổ tức (**),Năm nay > Chia cổ tức (**),Chia cổ tức (**),-,-,(289.100.000.000),(289.100.000.000),,,-289100000000.0,-289100000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.500.000.000.000,190.096.892.655,322.603.880.312,4.012.700.772.967,3500000000000.0,190096892655.0,322603880312.0,4012700772967.0
