row_label_raw,row_label_full,Tên đơn vị,Tên đơn vị_1,Số cuối năm > Tỷ lệ lợi ích (%),Số cuối năm > Tỷ lệ quyền biểu quyết (%),Số đầu năm > Tỷ lệ lợi ích (%),Số đầu năm > Tỷ lệ quyền biểu quyết (%),numeric__Tên đơn vị_1,numeric__Số cuối năm > Tỷ lệ lợi ích (%),numeric__Số cuối năm > Tỷ lệ quyền biểu quyết (%),numeric__Số đầu năm > Tỷ lệ lợi ích (%),numeric__Số đầu năm > Tỷ lệ quyền biểu quyết (%)
1,1,1,Công ty Cổ phần 19/5 Đoan Hùng,"49,01%","49,01%","49,01%","49,01%",,0.4901,0.4901,0.4901,0.4901
2,2,2,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân,"49,00%","49,00%","49,00%","49,00%",,0.49,0.49,0.49,0.49
3,3,3,Công ty Cổ phần Giống Lâm nghiệp Trung ương,"48,10%","48,10%","48,10%","48,10%",,0.48100000000000004,0.48100000000000004,0.48100000000000004,0.48100000000000004
4,4,4,Công ty Cổ phần Cờ Đỏ,"45,78%","45,78%","45,78%","45,78%",,0.4578,0.4578,0.4578,0.4578
5,5,5,Công ty Liên doanh Nuôi và Phát triển Khĩ Việt Nam,"40,00%","40,00%","40,00%","40,00%",,0.4,0.4,0.4,0.4
6,6,6,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,"40,00%","40,00%","40,00%","40,00%",,0.4,0.4,0.4,0.4
7,7,7,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật,"39,97%","39,97%","39,97%","39,97%",,0.3997,0.3997,0.3997,0.3997
8,8,8,Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu,"35,00%","35,00%","35,00%","35,00%",,0.35,0.35,0.35,0.35
9,9,9,Công ty TNHH Việt Thành Thái,"35,00%","35,00%","35,00%","35,00%",,0.35,0.35,0.35,0.35
10,10,10,Công ty Cổ phần Cơ khí Lâm nghiệp Sài Gòn,"31,07%","31,07%","31,07%","31,07%",,0.3107,0.3107,0.3107,0.3107
11,11,11,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,"30,00%","30,00%","30,00%","30,00%",,0.3,0.3,0.3,0.3
12,12,12,Công ty Cổ phần Kon Hà Nùng,"30,00%","30,00%","30,00%","30,00%",,0.3,0.3,0.3,0.3
13,13,13,Công ty Cổ phần Lâm nghiệp 19,"30,00%","30,00%","30,00%","30,00%",,0.3,0.3,0.3,0.3
14,14,14,Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Naforimex Hà Nội,"30,00%","30,00%","30,00%","30,00%",,0.3,0.3,0.3,0.3
15,15,15,Công ty Cổ phần Thương mại Lâm sản Hà Nội,"30,00%","30,00%","30,00%","30,00%",,0.3,0.3,0.3,0.3
16,16,16,Công ty Cổ phần Xuất nhập khẩu Lâm nông sản Sài Gòn,"30,00%","30,00%","30,00%","30,00%",,0.3,0.3,0.3,0.3
17,17,17,Công ty TNHH Yamaha Motor Việt Nam,"30,00%","30,00%","30,00%","30,00%",,0.3,0.3,0.3,0.3
18,18,18,Công ty Cổ phần Thương mại Công nghiệp và Chế biến gỗ,"29,69%","29,69%","29,69%","29,69%",,0.2969,0.2969,0.2969,0.2969
19,19,19,Công ty TNHH Nguyên liệu Giấy Quy Nhơn,"22,00%","22,00%","22,00%","22,00%",,0.22,0.22,0.22,0.22
20,20,20,Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông lâm nghiệp Việt Nam,"20,00%","20,00%","20,00%","20,00%",,0.2,0.2,0.2,0.2
21,21,21,Công ty TNHH Năng lượng tái tạo Uni-Vinafor Châu Đức,"45,00%","45,00%","45,00%","45,00%",,0.45,0.45,0.45,0.45
