row_label_raw,row_label_full,Bên liên quan > Công ty TNHH Yamaha Motor Việt Nam,Mối quan hệ > Công ty liên kết,Nội dung nghiệp vụ > Doanh thu dịch vụGiảm vốn góp do nhận lợi nhuận sau đánh giá lạiThu tiền cung cấp dịch vụ,Năm nay > 6.513.171.224- > 7.462.603.353,Năm trước > 6.357.427.93714.277.602.624 > 7.493.991.377,numeric__Mối quan hệ > Công ty liên kết,numeric__Nội dung nghiệp vụ > Doanh thu dịch vụGiảm vốn góp do nhận lợi nhuận sau đánh giá lạiThu tiền cung cấp dịch vụ,numeric__Năm nay > 6.513.171.224- > 7.462.603.353,numeric__Năm trước > 6.357.427.93714.277.602.624 > 7.493.991.377
Công ty TNHH Việt Thành Thái,Công ty TNHH Việt Thành Thái,Công ty TNHH Việt Thành Thái,Công ty liên kết,Thu tiền trả hộ thuế sử dụng đấtThanh lý công cụ dụng cụ,13.640.486,13.640.486,,,13640486.0,13640486.0
Công ty TNHH Việt Thành Thái,Công ty TNHH Việt Thành Thái,Công ty TNHH Việt Thành Thái,Công ty liên kết,Thu tiền trả hộ thuế sử dụng đấtThanh lý công cụ dụng cụ,4.629.630,-,,,4629630.0,
Công ty Cổ phần Archi Reenco Hòa Bình,Công ty Cổ phần Archi Reenco Hòa Bình,Công ty Cổ phần Archi Reenco Hòa Bình,Đầu tư khác,Nhận bồi thường cải tạo đất,120.000.000,-,,,120000000.0,
Công ty Cổ phần Tư vấn và Đầu tư Forprodex,Công ty Cổ phần Tư vấn và Đầu tư Forprodex,Công ty Cổ phần Tư vấn và Đầu tư Forprodex,Công ty liên kết (đến ngày 4/4/2022),Thu hồi gốc vay,-,2.200.000.000,,,,2200000000.0
