row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Công cụ dụng cụ chờ phân bổ,Ngắn hạn > Công cụ dụng cụ chờ phân bổ,Công cụ dụng cụ chờ phân bổ,308.352.593,319.002.811,308352593.0,319002811.0
Chi phí mua bảo hiểm,Ngắn hạn > Chi phí mua bảo hiểm,Chi phí mua bảo hiểm,243.691.830,102.926.284,243691830.0,102926284.0
Các khoản khác,Ngắn hạn > Các khoản khác,Các khoản khác,213.587.845,-,213587845.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,765.632.268,421.929.095,765632268.0,421929095.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí sửa chữa tài sản cố định,Dài hạn > Chi phí sửa chữa tài sản cố định,Chi phí sửa chữa tài sản cố định,8.478.697.158,16.997.272.443,8478697158.0,16997272443.0
Công cụ dụng cụ chờ phân bổ,Dài hạn > Công cụ dụng cụ chờ phân bổ,Công cụ dụng cụ chờ phân bổ,1.877.321.158,181.749.137,1877321158.0,181749137.0
Các khoản khác,Dài hạn > Các khoản khác,Các khoản khác,490.970.779,279.488.767,490970779.0,279488767.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,10.846.989.095,17.458.510.347,10846989095.0,17458510347.0
