row_label_raw,row_label_full,col_0,Nhà cửa,"Máy móc, thiết bị",Đơn vị tính: VND Tổng cộng,numeric__Nhà cửa,"numeric__Máy móc, thiết bị",numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,167.341.644.075,50.854.067.382,218.195.711.457,167341644075.0,50854067382.0,218195711457.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,167.341.644.075,50.854.067.382,218.195.711.457,167341644075.0,50854067382.0,218195711457.0
Trong đó: Đã khấu hao hết,Nguyên giá: > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,-,18.581.408.413,18.581.408.413,,18581408413.0,18581408413.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,50.661.841.145,47.365.336.229,98.027.177.374,50661841145.0,47365336229.0,98027177374.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,4.625.168.328,2.669.950.857,7.295.119.185,4625168328.0,2669950857.0,7295119185.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,55.287.009.473,50.035.287.086,105.322.296.559,55287009473.0,50035287086.0,105322296559.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,116.679.802.930,3.488.731.153,120.168.534.083,116679802930.0,3488731153.0,120168534083.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,112.054.634.602,818.780.296,112.873.414.898,112054634602.0,818780296.0,112873414898.0
