row_label_raw,row_label_full,Tên đơn vị,Tên đơn vị_1,Số cuối năm > Tỷ lệ lợi ích(%),Số cuối năm > Tỷ lệ quyền biểu quyết (%),Số đầu năm > Tỷ lệ lợi ích(%),Số đầu năm > Tỷ lệ quyền biểu quyết (%),numeric__Tên đơn vị_1,numeric__Số cuối năm > Tỷ lệ lợi ích(%),numeric__Số cuối năm > Tỷ lệ quyền biểu quyết (%),numeric__Số đầu năm > Tỷ lệ lợi ích(%),numeric__Số đầu năm > Tỷ lệ quyền biểu quyết (%)
Các công ty con là công ty TNHH Một thành viên,Các công ty con là công ty TNHH Một thành viên,Các công ty con là công ty TNHH Một thành viên,Các công ty con là công ty TNHH Một thành viên,Các công ty con là công ty TNHH Một thành viên,Các công ty con là công ty TNHH Một thành viên,Các công ty con là công ty TNHH Một thành viên,Các công ty con là công ty TNHH Một thành viên,,,,,
1,Các công ty con là công ty TNHH Một thành viên > 1,1,Công ty TNHH MTV Lâm nghiệp Ba Tơ,"100,00%","100,00%","100,00%","100,00%",,1.0,1.0,1.0,1.0
2,Các công ty con là công ty TNHH Một thành viên > 2,2,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,"100,00%","100,00%","100,00%","100,00%",,1.0,1.0,1.0,1.0
3,Các công ty con là công ty TNHH Một thành viên > 3,3,Công ty TNHH MTV Lâm nghiệp Đông Bắc,"100,00%","100,00%","100,00%","100,00%",,1.0,1.0,1.0,1.0
4,Các công ty con là công ty TNHH Một thành viên > 4,4,Công ty TNHH MTV Lâm nghiệp Lộc Bình,"100,00%","100,00%","100,00%","100,00%",,1.0,1.0,1.0,1.0
5,Các công ty con là công ty TNHH Một thành viên > 5,5,Công ty TNHH MTV Lâm nghiệp Đình Lập,"100,00%","100,00%","100,00%","100,00%",,1.0,1.0,1.0,1.0
6,Các công ty con là công ty TNHH Một thành viên > 6,6,Công ty TNHH MTV Ván dán Vinafor Bắc Giang,"100,00%","100,00%","100,00%","100,00%",,1.0,1.0,1.0,1.0
7,Các công ty con là công ty TNHH Một thành viên > 7,7,Công ty TNHH MTV Chế biến gỗ và đảm gỗ Dung Quát,"100,00%","100,00%","100,00%","100,00%",,1.0,1.0,1.0,1.0
8,Các công ty con là công ty TNHH Một thành viên > 8,8,Công ty TNHH MTV Hợp tác lao động và Dịch vụ Vinafor,"100,00%","100,00%","100,00%","100,00%",,1.0,1.0,1.0,1.0
Các công ty con là công ty cổ phần,Các công ty con là công ty cổ phần,Các công ty con là công ty cổ phần,Các công ty con là công ty cổ phần,Các công ty con là công ty cổ phần,Các công ty con là công ty cổ phần,Các công ty con là công ty cổ phần,Các công ty con là công ty cổ phần,,,,,
9,Các công ty con là công ty cổ phần > 9,9,Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,"85,00%","85,00%","85,00%","85,00%",,0.85,0.85,0.85,0.85
10,Các công ty con là công ty cổ phần > 10,10,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,"79,86%","79,86%","79,86%","79,86%",,0.7986,0.7986,0.7986,0.7986
11,Các công ty con là công ty cổ phần > 11,11,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Trung Bộ,"73,04%","73,04%","73,04%","73,04%",,0.7304,0.7304,0.7304,0.7304
12,Các công ty con là công ty cổ phần > 12,12,Công ty Cổ phần Vinafor Tây Nguyên,"68,59%","68,59%","68,59%","68,59%",,0.6859000000000001,0.6859000000000001,0.6859000000000001,0.6859000000000001
13,Các công ty con là công ty cổ phần > 13,13,Công ty Cổ phần Giống Lâm nghiệp vùng Đông Bắc,"67,69%","67,69%","67,69%","67,69%",,0.6769,0.6769,0.6769,0.6769
14,Các công ty con là công ty cổ phần > 14,14,Công ty Cổ phần Vinafor Vinh,"63,21%","63,21%","63,21%","63,21%",,0.6321,0.6321,0.6321,0.6321
15,Các công ty con là công ty cổ phần > 15,15,Công ty Cổ phần Long Bình,"61,89%","61,89%","61,89%","61,89%",,0.6189,0.6189,0.6189,0.6189
16,Các công ty con là công ty cổ phần > 16,16,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Trung Bộ,"51,84%","51,84%","51,84%","51,84%",,0.5184000000000001,0.5184000000000001,0.5184000000000001,0.5184000000000001
17,Các công ty con là công ty cổ phần > 17,17,Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Sài Gòn,"51,70%","51,70%","51,70%","51,70%",,0.517,0.517,0.517,0.517
18,Các công ty con là công ty cổ phần > 18,18,Công ty Cổ phần Vinafor Đà Nẵng,"51,01%","51,01%","51,01%","51,01%",,0.5101,0.5101,0.5101,0.5101
19,Các công ty con là công ty cổ phần > 19,19,Công ty Cổ phần Cẩm Hà,"51,00%","51,00%","51,00%","51,00%",,0.51,0.51,0.51,0.51
20,Các công ty con là công ty cổ phần > 20,20,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Bộ,"51,00%","51,00%","51,00%","51,00%",,0.51,0.51,0.51,0.51
21,Các công ty con là công ty cổ phần > 21,21,Công ty Cổ phần Giống Lâm nghiệp vùng Tây Nguyên,"51,00%","51,00%","51,00%","51,00%",,0.51,0.51,0.51,0.51
