row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
Công ty TNHHMTV Ván dánVinafor Bắc Giang,Công ty TNHHMTV Ván dánVinafor Bắc Giang,Công ty TNHHMTV Ván dánVinafor Bắc Giang,Công ty con,"Thu hồi gốc vayLãi tiền cho vay, tiền gửiChuyển tiền hỗ trợ",16.000.000.0004.138.545.2074.000.000,22.574.652.0685.161.245.4422.000.000,,,1.6000000000413854e+27,2.2574652068516124e+27
Công ty TNHHMTV Hợp Tác LaoĐộng và Dịch VụVinafor,Công ty TNHHMTV Hợp Tác LaoĐộng và Dịch VụVinafor,Công ty TNHHMTV Hợp Tác LaoĐộng và Dịch VụVinafor,Công ty con,Trà tiền phí chuẩn bị xuất cảnhThanh lý xe ô tôPhải trả phí quản lý thực tập sinh tại NhậtChuyển tiền hỗ trợDoanh thu bán hàng và cung cấp dịch vụ,-,970.913.647-,,,,
Công ty TNHHMTV Hợp Tác LaoĐộng và Dịch VụVinafor,Công ty TNHHMTV Hợp Tác LaoĐộng và Dịch VụVinafor > Công ty TNHHMTV Hợp Tác LaoĐộng và Dịch VụVinafor,Công ty TNHHMTV Hợp Tác LaoĐộng và Dịch VụVinafor,Công ty con,Trà tiền phí chuẩn bị xuất cảnhThanh lý xe ô tôPhải trả phí quản lý thực tập sinh tại NhậtChuyển tiền hỗ trợDoanh thu bán hàng và cung cấp dịch vụ,237.100.000510.479.570,726.834.720,,,2.3710000051047958e+17,726834720.0
Công ty TNHHMTV Hợp Tác LaoĐộng và Dịch VụVinafor,Công ty TNHHMTV Hợp Tác LaoĐộng và Dịch VụVinafor > Công ty TNHHMTV Hợp Tác LaoĐộng và Dịch VụVinafor,Công ty TNHHMTV Hợp Tác LaoĐộng và Dịch VụVinafor,Công ty con,Trà tiền phí chuẩn bị xuất cảnhThanh lý xe ô tôPhải trả phí quản lý thực tập sinh tại NhậtChuyển tiền hỗ trợDoanh thu bán hàng và cung cấp dịch vụ,67.000.00022.980.672,11.000.0002.239.590,,,6700000022980672.0,110000002239590.0
Công ty TNHHMTV Chế biến gỗ và đảm gỗ DungQuất,Công ty TNHHMTV Hợp Tác LaoĐộng và Dịch VụVinafor > Công ty TNHHMTV Chế biến gỗ và đảm gỗ DungQuất,Công ty TNHHMTV Chế biến gỗ và đảm gỗ DungQuất,Công ty con,Thu nợ gốc vayLãi cho vayChuyển tiền hỗ trợChênh lệch tỷ giá,3.200.000.000745.335.6152.000.000,3.417.889.175946.260.118-,,,3.2000000007453357e+25,
Công ty TNHHMTV Chế biến gỗ và đảm gỗ DungQuất,Công ty TNHHMTV Hợp Tác LaoĐộng và Dịch VụVinafor > Công ty TNHHMTV Chế biến gỗ và đảm gỗ DungQuất,Công ty TNHHMTV Chế biến gỗ và đảm gỗ DungQuất,Công ty con,Thu nợ gốc vayLãi cho vayChuyển tiền hỗ trợChênh lệch tỷ giá,8.116.005.8727.999.542.134,6.781.017.5476.983.962.812,,,8.116005872799954e+19,6.781017547698396e+19
Công ty Cổ phầnGỗ lạng Buôn MaThuật,Công ty TNHHMTV Hợp Tác LaoĐộng và Dịch VụVinafor > Công ty Cổ phầnGỗ lạng Buôn MaThuật,Công ty Cổ phầnGỗ lạng Buôn MaThuật,Công ty liên kết,Thu tiền bán vấn épDoanh thu bán vấn ép,247.290.300247.290.300,751.589.820695.916.499,,,2.472903002472903e+17,7.515898206959165e+17
Công ty Cổ phầnKon Hà Nừng,Công ty TNHHMTV Hợp Tác LaoĐộng và Dịch VụVinafor > Công ty Cổ phầnKon Hà Nừng,Công ty Cổ phầnKon Hà Nừng,Công ty liên kết,Chuyển tiền thiết kế khai thácChi phí thiết kế khai thác,662.083.434,662.083.434,,,662083434.0,662083434.0
Công ty Cổ phầnThương mại Lâm sân Hà Nội,Công ty TNHHMTV Hợp Tác LaoĐộng và Dịch VụVinafor > Công ty Cổ phầnThương mại Lâm sân Hà Nội,Công ty Cổ phầnThương mại Lâm sân Hà Nội,Công ty liên kết,Trà tiền thuê đất,118.316.077,375.405.202,,,118316077.0,375405202.0
Công ty Liên doanh Nuôi và Phát triển Khĩ Việt Nam,Công ty TNHHMTV Hợp Tác LaoĐộng và Dịch VụVinafor > Công ty Liên doanh Nuôi và Phát triển Khĩ Việt Nam,Công ty Liên doanh Nuôi và Phát triển Khĩ Việt Nam,Công ty liên kết,Giảm vốn góp do nhận lợi nhuận sau đánh giá lại,962.800.000,937.600.000,,,962800000.0,937600000.0
Công ty TNHHSản xuất Nguyên liệu giấy Việt nhậtCái Lân,Công ty TNHHMTV Hợp Tác LaoĐộng và Dịch VụVinafor > Công ty TNHHSản xuất Nguyên liệu giấy Việt nhậtCái Lân,Công ty TNHHSản xuất Nguyên liệu giấy Việt nhậtCái Lân,Công ty liên kết,Phí dịch vụ nội bộThu tiền phí dịch vụ nội bộ,1.012.608.000,-,,,1012608000.0,
Công ty TNHHSản xuất Nguyên liệu giấy Việt Nhật,Công ty TNHHMTV Hợp Tác LaoĐộng và Dịch VụVinafor > Công ty TNHHSản xuất Nguyên liệu giấy Việt Nhật,Công ty TNHHSản xuất Nguyên liệu giấy Việt Nhật,Công ty liên kết,Doanh thu bán hàng hóa và cung cấp dịch vụThu tiền bán hàng hóaThu tiền phí dịch vụ nội bộPhí dịch vụ nội bộ,415.621.854.517479.137.521.508759.456.000722.100.000,516.347.559.449545.767.395.421-,,,4.156218545174791e+41,
Công ty TNHHSản xuất Nguyên liệu giấy Việt Nhật,Công ty TNHHMTV Hợp Tác LaoĐộng và Dịch VụVinafor > Công ty TNHHSản xuất Nguyên liệu giấy Việt Nhật,Công ty TNHHSản xuất Nguyên liệu giấy Việt Nhật,Công ty liên kết,Thu tiền phí dịch vụ nội bộPhí dịch vụ nội bộ,759.456.000722.100.000,-,,,7.594560007221e+17,
