row_label_raw,row_label_full,Các khoản giảm trừ,-,(114.891.819),numeric__-,numeric__(114.891.819)
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,1.003.976.948.228,1.006.968.819.071,1003976948228.0,1006968819071.0
Trong đó:,Trong đó:,Trong đó:,,,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,571.620.074.985,475.897.245.283,571620074985.0,475897245283.0
Doanh thu đối với các bên liên quan(Thuyết minh số 31),Trong đó: > Doanh thu đối với các bên liên quan(Thuyết minh số 31),Doanh thu đối với các bên liên quan(Thuyết minh số 31),432.356.873.243,531.071.573.788,432356873243.0,531071573788.0
