row_label_raw,row_label_full,Đối tượng,Số cuối năm > Giá gốc,Số cuối năm > Giá trị có thể thu hồi,Số đầu năm > Giá gốc,Số đầu năm > Giá trị có thể thu hồi,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị có thể thu hồi,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị có thể thu hồi
Công ty TNHH MTVVán dán Vinafor BắcGiang,Công ty TNHH MTVVán dán Vinafor BắcGiang,Công ty TNHH MTVVán dán Vinafor BắcGiang,84.875.543.287,36.821.516.193,96.736.998.080,53.750.100.506,84875543287.0,36821516193.0,96736998080.0,53750100506.0
Công ty TNHH ViệtNhật Chế biến gỗ vàđăm gỗ Dung Quát,Công ty TNHH ViệtNhật Chế biến gỗ vàđăm gỗ Dung Quát,Công ty TNHH ViệtNhật Chế biến gỗ vàđăm gỗ Dung Quát,18.989.313.084,12.764.457.213,21.443.977.469,16.597.493.240,18989313084.0,12764457213.0,21443977469.0,16597493240.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,22.291.684.529,8.898.280.074,18.162.708.995,4.424.821.425,22291684529.0,8898280074.0,18162708995.0,4424821425.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,126.156.540.900,58.484.253.480,136.343.684.544,74.772.415.171,126156540900.0,58484253480.0,136343684544.0,74772415171.0
