row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,TSCĐ vô hình khác,Đơn vị tính: VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__TSCĐ vô hình khác,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,21.475.798.076,1.387.700.000,22.899.451.182,45.762.949.258,21475798076.0,1387700000.0,22899451182.0,45762949258.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,21.475.798.076,1.387.700.000,22.899.451.182,45.762.949.258,21475798076.0,1387700000.0,22899451182.0,45762949258.0
Trong đó: Đã khấu hao hết,Nguyên giá: > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,-,1.312.422.208,21.971.495.755,23.283.917.963,,1312422208.0,21971495755.0,23283917963.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,4.403.699.070,1.312.422.208,21.971.495.755,27.687.617.033,4403699070.0,1312422208.0,21971495755.0,27687617033.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế: > - Hao mòn trong năm,- Hao mòn trong năm,388.103.964,19.999.992,99.953.060,508.057.016,388103964.0,19999992.0,99953060.0,508057016.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,4.791.803.034,1.332.422.200,22.071.448.815,28.195.674.049,4791803034.0,1332422200.0,22071448815.0,28195674049.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,17.072.099.006,75.277.792,927.955.427,18.075.332.225,17072099006.0,75277792.0,927955427.0,18075332225.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,16.683.995.042,55.277.800,828.002.367,17.567.275.209,16683995042.0,55277800.0,828002367.0,17567275209.0
