row_label_raw,row_label_full,col_0,Tại ngày 01/01/2017VND,Tại ngày 01/01/2017VND_1,Trong nămVND,Trong nămVND_1,Trong nămVND_2,Tại ngày 31/12/2017VND,Tại ngày 31/12/2017VND_1,numeric__Tại ngày 01/01/2017VND,numeric__Tại ngày 01/01/2017VND_1,numeric__Trong nămVND,numeric__Trong nămVND_1,numeric__Trong nămVND_2,numeric__Tại ngày 31/12/2017VND,numeric__Tại ngày 31/12/2017VND_1
,,,Phải thu,Phải nộp,Phải nộp,Đã nộp,Tăng/giảm dothoàivốn,Phải thu,Phải nộp,,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,7.318.874.538,14.633.028.294,209.106.378.005,(211.353.131.035),(258.327.049),571.422.296,5.897.150.071,7318874538.0,14633028294.0,209106378005.0,-211353131035.0,-258327049.0,571422296.0,5897150071.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,9.217.955.993,30.491.767.274,124.381.675.345,(176.341.298.651),886.756.667,40.259.541.624,8.686.972.932,9217955993.0,30491767274.0,124381675345.0,-176341298651.0,886756667.0,40259541624.0,8686972932.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,2.637.966.591,23.054.297.994,(21.324.171.105),8.137.118,-,4.359.956.362,,2637966591.0,23054297994.0,-21324171105.0,8137118.0,,4359956362.0
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,-,29.385.606,361.627.269,(355.352.271),-,-,35.660.604,,29385606.0,361627269.0,-355352271.0,,,35660604.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,1.284.465.552,18.699.644.218,(18.794.965.876),-,-,1.189.143.894,,1284465552.0,18699644218.0,-18794965876.0,,,1189143894.0
"Tiền thuê đất, thuế nhà đất","Tiền thuê đất, thuế nhà đất","Tiền thuê đất, thuế nhà đất",28.879.975.535,107.877.854.326,336.892.592.963,(438.646.057.806),1.713.132.650,24.918.523.348,449.804.646,28879975535.0,107877854326.0,336892592963.0,-438646057806.0,1713132650.0,24918523348.0,449804646.0
"Phí, lệ phi","Phí, lệ phi","Phí, lệ phi",-,35.501.609.572,40.844.004.479,(64.078.680.828),3.506,-,12.266.929.717,,35501609572.0,40844004479.0,-64078680828.0,3506.0,,12266929717.0
Thuế khác,Thuế khác,Thuế khác,32.743,48.646.314.616,2.581.509.769,(47.577.942.255),-,9.185.512,3.659.034.899,32743.0,48646314616.0,2581509769.0,-47577942255.0,,9185512.0,3659034899.0
Cộng,Cộng,Cộng,45.416.838.809,241.102.391.831,755.921.730.042,(978.471.599.827),2.349.702.892,65.758.672.780,36.544.653.125,45416838809.0,241102391831.0,755921730042.0,-978471599827.0,2349702892.0,65758672780.0,36544653125.0
(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),,,,,,,
