row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúcVND","Máy móc, thiết bịVND","Phương tiện vận tải, truyền dẫnVND",Thiết bị công cụquản lýVND,TSCĐ hữu hìnhkhắcVND,CộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc, thiết bịVND","numeric__Phương tiện vận tải, truyền dẫnVND",numeric__Thiết bị công cụquản lýVND,numeric__TSCĐ hữu hìnhkhắcVND,numeric__CộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Tại ngày 01/01/2017,Nguyên giá: > Tại ngày 01/01/2017,Tại ngày 01/01/2017,2.357.365.821.150,1.057.526.685.588,2.334.365.766.322,73.230.992.414,122.698.200.049,5.945.187.465.523,2357365821150.0,1057526685588.0,2334365766322.0,73230992414.0,122698200049.0,5945187465523.0
Đầu tư XDCB hoàn thành,Nguyên giá: > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,176.043.729.978,101.455.842.182,205.944.157.010,-,864.933.523,484.308.662.693,176043729978.0,101455842182.0,205944157010.0,,864933523.0,484308662693.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,10.336.040.059,10.433.225.116,54.596.126.995,3.281.765.728,2.016.549.227,80.663.707.125,10336040059.0,10433225116.0,54596126995.0,3281765728.0,2016549227.0,80663707125.0
Tăng do đánh giá lại tài sản,Nguyên giá: > Tăng do đánh giá lại tài sản,Tăng do đánh giá lại tài sản,607.449.300,-,-,-,-,607.449.300,607449300.0,,,,,607449300.0
Tăng khác,Nguyên giá: > Tăng khác,Tăng khác,19.821.239.711,253.985.344,2.531.235.043,45.000.000,34.207.110,22.685.667.208,19821239711.0,253985344.0,2531235043.0,45000000.0,34207110.0,22685667208.0
Chuyển sang BDS đầu tư,Nguyên giá: > Chuyển sang BDS đầu tư,Chuyển sang BDS đầu tư,(1.269.760.507),-,-,-,-,(1.269.760.507),-1269760507.0,,,,,-1269760507.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.258.263.509),(1.698.753.553),(9.224.055.694),(31.181.280),-,(14.212.254.036),-3258263509.0,-1698753553.0,-9224055694.0,-31181280.0,,-14212254036.0
Giảm do thoái vốn công ty con,Nguyên giá: > Giảm do thoái vốn công ty con,Giảm do thoái vốn công ty con,(27.872.866.312),(17.285.458.672),(15.516.930.147),(116.694.625),-,(60.791.949.756),-27872866312.0,-17285458672.0,-15516930147.0,-116694625.0,,-60791949756.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,-,-,(1.479.641.381),-,(1.615.612.479),(3.095.253.860),,,-1479641381.0,,-1615612479.0,-3095253860.0
Tại ngày 31/12/2017,Nguyên giá: > Tại ngày 31/12/2017,Tại ngày 31/12/2017,2.531.773.389.870,1.150.685.526.005,2.571.216.658.148,76.409.882.237,123.998.277.430,6.454.083.733.690,2531773389870.0,1150685526005.0,2571216658148.0,76409882237.0,123998277430.0,6454083733690.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Tại ngày 01/01/2017,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2017,Tại ngày 01/01/2017,982.781.661.288,440.940.592.465,927.218.167.902,29.144.199.266,10.408.141.903,2.390.492.762.824,982781661288.0,440940592465.0,927218167902.0,29144199266.0,10408141903.0,2390492762824.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,136.610.097.526,79.553.955.818,109.062.383.483,7.311.382.236,3.556.692.296,336.094.511.359,136610097526.0,79553955818.0,109062383483.0,7311382236.0,3556692296.0,336094511359.0
Tăng khác,Giá trị hao mòn lũy kế: > Tăng khác,Tăng khác,1.900.912.210,6.047.270,482.081.388,45.000.000,-,2.434.040.868,1900912210.0,6047270.0,482081388.0,45000000.0,,2434040868.0
Chuyển sang BDS đầu tư,Giá trị hao mòn lũy kế: > Chuyển sang BDS đầu tư,Chuyển sang BDS đầu tư,(159.982.478),-,-,-,-,(159.982.478),-159982478.0,,,,,-159982478.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.860.827.279),(1.430.836.861),(9.638.309.251),(31.181.280),-,(13.961.154.671),-2860827279.0,-1430836861.0,-9638309251.0,-31181280.0,,-13961154671.0
Giảm do thoái vốn công ty con,Giá trị hao mòn lũy kế: > Giảm do thoái vốn công ty con,Giảm do thoái vốn công ty con,(6.562.733.803),(8.885.687.903),(7.145.828.885),(116.694.625),-,(22.710.945.216),-6562733803.0,-8885687903.0,-7145828885.0,-116694625.0,,-22710945216.0
Giảm do đánh giá lại tài sản,Giá trị hao mòn lũy kế: > Giảm do đánh giá lại tài sản,Giảm do đánh giá lại tài sản,(8.065.315.084),-,(346.889.653),(447.070.403),-,(8.859.275.140),-8065315084.0,,-346889653.0,-447070403.0,,-8859275140.0
Giảm khác,Giá trị hao mòn lũy kế: > Giảm khác,Giảm khác,-,-,(871.054.000),-,-,(871.054.000),,,-871054000.0,,,-871054000.0
Tại ngày 31/12/2017,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2017,Tại ngày 31/12/2017,1.103.643.812.380,510.184.070.789,1.018.760.550.984,35.905.635.194,13.964.834.199,2.682.458.903.546,1103643812380.0,510184070789.0,1018760550984.0,35905635194.0,13964834199.0,2682458903546.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Tại ngày 01/01/2017,Giá trị còn lại: > Tại ngày 01/01/2017,Tại ngày 01/01/2017,1.374.584.159.862,616.586.093.123,1.407.147.598.420,44.086.793.148,112.290.058.146,3.554.694.702.699,1374584159862.0,616586093123.0,1407147598420.0,44086793148.0,112290058146.0,3554694702699.0
Tại ngày 31/12/2017,Giá trị còn lại: > Tại ngày 31/12/2017,Tại ngày 31/12/2017,1.428.129.577.490,640.501.455.216,1.552.456.107.164,40.504.247.043,110.033.443.231,3.771.624.830.144,1428129577490.0,640501455216.0,1552456107164.0,40504247043.0,110033443231.0,3771624830144.0
