row_label_raw,row_label_full,CHỈ TIỀU,Mã số,TM,Từ 01/01/2017 đến 31/12/2017,Từ 01/02/2016 đến 31/12/2016 (Xem TM số 12),numeric__Mã số,numeric__TM,numeric__Từ 01/01/2017 đến 31/12/2017,numeric__Từ 01/02/2016 đến 31/12/2016 (Xem TM số 12)
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,,3.788.546.436.677,3.648.925.532.035,1.0,,3788546436677.0,3648925532035.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,1.128.096.195,5.185.428.006,2.0,,1128096195.0,5185428006.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,(5.1),3.787.418.340.482,3.643.740.104.029,10.0,-51.0,3787418340482.0,3643740104029.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,(5.2),2.628.249.985.157,2.507.048.838.453,11.0,-52.0,2628249985157.0,2507048838453.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,1.159.168.355.325,1.136.691.265.576,20.0,,1159168355325.0,1136691265576.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,(5.3),187.386.621.017,134.096.155.417,21.0,-53.0,187386621017.0,134096155417.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,(5.4),206.678.901.559,176.112.630.044,22.0,-54.0,206678901559.0,176112630044.0
"Trong đó, chi phí lãi vay","Trong đó, chi phí lãi vay","Trong đó, chi phí lãi vay",23,,104.092.727.137,121.515.953.358,23.0,,104092727137.0,121515953358.0
8. Phần lãi hoặc lỗ trong công ty liên kết,8. Phần lãi hoặc lỗ trong công ty liên kết,8. Phần lãi hoặc lỗ trong công ty liên kết,24,,14.454.899.541,9.450.039.981,24.0,,14454899541.0,9450039981.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,(5.5),138.041.890.134,112.042.551.983,25.0,-55.0,138041890134.0,112042551983.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,(5.6),349.261.684.589,298.910.223.167,26.0,-56.0,349261684589.0,298910223167.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Lợi nhuận thuần từ hoạt động kinh doanh,30,,667.027.399.601,693.172.055.780,30.0,,667027399601.0,693172055780.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,(5.7),62.092.741.142,35.020.378.070,31.0,-57.0,62092741142.0,35020378070.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,,8.658.154.727,17.864.031.361,32.0,,8658154727.0,17864031361.0
14. Lợi nhuận khác,14. Lợi nhuận khác,14. Lợi nhuận khác,40,,53.434.586.415,17.156.346.709,40.0,,53434586415.0,17156346709.0
15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,50,,720.461.986.016,710.328.402.489,50.0,,720461986016.0,710328402489.0
16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,51,(5.9),125.326.732.292,107.026.247.861,51.0,-59.0,125326732292.0,107026247861.0
17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,52,(5.10),4.005.237.564,(335.677.205),52.0,-510.0,4005237564.0,-335677205.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,591.130.016.160,603.637.831.833,60.0,,591130016160.0,603637831833.0
19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,61,,346.764.330.680,397.278.166.818,61.0,,346764330680.0,397278166818.0
20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,244.365.685.480,206.359.665.015,62.0,,244365685480.0,206359665015.0
21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,70,(4.25.2),921,,70.0,-4252.0,921.0,
22. Lãi suy giảm trên cổ phiếu,22. Lãi suy giảm trên cổ phiếu,22. Lãi suy giảm trên cổ phiếu,71,(4.25.2),921,,71.0,-4252.0,921.0,
