row_label_raw,row_label_full,col_0,Năm nay,Năm trước,Năm nay_1,Năm trước_1,Năm nay_2,Năm trước_2,Năm nay_3,Năm trước_3,Năm nay_4,Năm trước_4,numeric__Năm nay,numeric__Năm trước,numeric__Năm nay_1,numeric__Năm trước_1,numeric__Năm nay_2,numeric__Năm trước_2,numeric__Năm nay_3,numeric__Năm trước_3,numeric__Năm nay_4,numeric__Năm trước_4
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,,,
Kết quả của bộ phận,Kết quả hoạt động kinh doanh > Kết quả của bộ phận,Kết quả của bộ phận,402.574,213.789,325.432,205.355,335.219,225.125,95.943,492.422,1.159.168,1.136.691,402574.0,213789.0,325432.0,205355.0,335219.0,225125.0,95943.0,492422.0,1159168.0,1136691.0
Chi phí không phân bổ,Kết quả hoạt động kinh doanh > Chi phí không phân bổ,Chi phí không phân bổ,,,,,,,,,(487.304),(410.953),,,,,,,,,-487304.0,-410953.0
Phần lãi hoặc lỗ trong công ty liên kết,Kết quả hoạt động kinh doanh > Phần lãi hoặc lỗ trong công ty liên kết,Phần lãi hoặc lỗ trong công ty liên kết,,,,,,,,,14.455,9.450,,,,,,,,,14455.0,9450.0
Thu nhập khác không phân bổ,Kết quả hoạt động kinh doanh > Thu nhập khác không phân bổ,Thu nhập khác không phân bổ,,,,,,,,,53.435,17.156,,,,,,,,,53435.0,17156.0
"Lợi nhuận trước thuế, thu nhập tài chính và chi phí tài chính","Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế, thu nhập tài chính và chi phí tài chính","Lợi nhuận trước thuế, thu nhập tài chính và chi phí tài chính",,,,,,,,,739.754,752.344,,,,,,,,,739754.0,752344.0
Thu nhập tài chính,Kết quả hoạt động kinh doanh > Thu nhập tài chính,Thu nhập tài chính,,,,,,,,,187.387,134.096,,,,,,,,,187387.0,134096.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,,,,,(206.679),(176.113),,,,,,,,,-206679.0,-176113.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,,,720.462,710.327,,,,,,,,,720462.0,710327.0
Thuế thu nhập doanh nghiệp,Kết quả hoạt động kinh doanh > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,,,,,,,(125.327),(107.026),,,,,,,,,-125327.0,-107026.0
Chi phí thuế TNDN hoãn lại,Kết quả hoạt động kinh doanh > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,,,,,,(4.005),336,,,,,,,,,-4005.0,336.0
,,,,,,,,,,,591.130,603.637,,,,,,,,,591130.0,603637.0
