row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,Tại ngày 31/12/2017,Tại ngày 01/01/2017 (Xem TM số 12),numeric__Mã số,numeric__TM,numeric__Tại ngày 31/12/2017,numeric__Tại ngày 01/01/2017 (Xem TM số 12)
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,10.470.068.981.821,9.376.006.870.326,200.0,,10470068981821.0,9376006870326.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,100.588.647.131,105.566.105.808,210.0,,100588647131.0,105566105808.0
1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,211,(4.3),2.920.351.920,7.947.401.920,211.0,-43.0,2920351920.0,7947401920.0
2. Trả trước cho người bán dài hạn,2. Trả trước cho người bán dài hạn,2. Trả trước cho người bán dài hạn,212,,200.000.000,,212.0,,200000000.0,
3. Phải thu dài hạn khác,3. Phải thu dài hạn khác,3. Phải thu dài hạn khác,216,(4.6),104.570.689.111,104.731.897.788,216.0,-46.0,104570689111.0,104731897788.0
4. Dự phòng phải thu dài hạn khó đòi,4. Dự phòng phải thu dài hạn khó đòi,4. Dự phòng phải thu dài hạn khó đòi,219,(4.7),(7.102.393.900),(7.113.193.900),219.0,-47.0,-7102393900.0,-7113193900.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,4.170.233.396.427,3.963.155.799.605,220.0,,4170233396427.0,3963155799605.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,(4.9),3.771.624.830.144,3.554.694.702.699,221.0,-49.0,3771624830144.0,3554694702699.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,6.454.083.733.690,5.945.187.465.523,222.0,,6454083733690.0,5945187465523.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(2.682.458.903.546),(2.390.492.762.824),223.0,,-2682458903546.0,-2390492762824.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,(4.10),398.608.566.283,408.461.096.906,227.0,-410.0,398608566283.0,408461096906.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,496.340.553.819,495.975.499.444,228.0,,496340553819.0,495975499444.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(97.731.987.536),(87.514.402.538),229.0,,-97731987536.0,-87514402538.0
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,(4.11),1.898.102.124.573,1.782.810.070.358,230.0,-411.0,1898102124573.0,1782810070358.0
Nguyên giá,Nguyên giá,Nguyên giá,231,,2.899.694.433.376,2.691.428.722.466,231.0,,2899694433376.0,2691428722466.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,232,,(1.001.592.308.803),(908.618.652.108),232.0,,-1001592308803.0,-908618652108.0
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,,3.007.173.063.544,2.375.365.020.543,240.0,,3007173063544.0,2375365020543.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn","1. Chi phí sản xuất, kinh doanh dở dang dài hạn","1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,(4.12),354.985.313.925,250.960.049.169,241.0,-412.0,354985313925.0,250960049169.0
2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,242,(4.13),2.652.187.749.619,2.124.404.971.374,242.0,-413.0,2652187749619.0,2124404971374.0
V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,250,(4.2),633.514.261.898,549.434.958.349,250.0,-42.0,633514261898.0,549434958349.0
"1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết",252,,359.716.342.318,313.683.925.078,252.0,,359716342318.0,313683925078.0
2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,253,,227.349.953.280,198.412.703.641,253.0,,227349953280.0,198412703641.0
3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,254,,(3.552.033.700),(4.161.670.370),254.0,,-3552033700.0,-4161670370.0
4. Đầu tư nấm giữ đến ngày đào hạn,4. Đầu tư nấm giữ đến ngày đào hạn,4. Đầu tư nấm giữ đến ngày đào hạn,255,,50.000.000.000,41.500.000.000,255.0,,50000000000.0,41500000000.0
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,,660.457.488.248,599.674.915.663,260.0,,660457488248.0,599674915663.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,(4.14),635.694.791.772,570.906.981.623,261.0,-414.0,635694791772.0,570906981623.0
2. Tài sản thuê thu nhập hoãn lại,2. Tài sản thuê thu nhập hoãn lại,2. Tài sản thuê thu nhập hoãn lại,262,(5.10),24.762.696.476,28.767.934.040,262.0,-510.0,24762696476.0,28767934040.0
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,,15.841.019.611.509,14.535.643.512.714,270.0,,15841019611509.0,14535643512714.0
