row_label_raw,row_label_full,col_0,Tại ngày31/12/2017VND,Tại ngày01/01/2017VND,numeric__Tại ngày31/12/2017VND,numeric__Tại ngày01/01/2017VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Doanh thu nhận trước cho thuê đất hạ tầng khu công nghiệp,Ngắn hạn: > Doanh thu nhận trước cho thuê đất hạ tầng khu công nghiệp,Doanh thu nhận trước cho thuê đất hạ tầng khu công nghiệp,109.088.421.163,113.335.240.843,109088421163.0,113335240843.0
Các doanh thu chưa thực hiện khác,Ngắn hạn: > Các doanh thu chưa thực hiện khác,Các doanh thu chưa thực hiện khác,4.833.002.005,5.235.163.032,4833002005.0,5235163032.0
Cộng,Ngắn hạn: > Cộng,Cộng,113.921.423.168,118.570.403.875,113921423168.0,118570403875.0
Dải hạn:,Dải hạn:,Dải hạn:,Dải hạn:,Dải hạn:,,
Doanh thu nhận trước cho thuê đất hạ tầng khu công nghiệp,Dải hạn: > Doanh thu nhận trước cho thuê đất hạ tầng khu công nghiệp,Doanh thu nhận trước cho thuê đất hạ tầng khu công nghiệp,2.761.190.771.640,2.392.931.278.680,2761190771640.0,2392931278680.0
Doanh thu chưa thực hiện kinh doanh nhà và hạ tầng,Dải hạn: > Doanh thu chưa thực hiện kinh doanh nhà và hạ tầng,Doanh thu chưa thực hiện kinh doanh nhà và hạ tầng,389.499.895.969,256.561.136.283,389499895969.0,256561136283.0
Doanh thu chưa thực hiện tử hoạt động xây dựng đã xuất hóa đơn,Dải hạn: > Doanh thu chưa thực hiện tử hoạt động xây dựng đã xuất hóa đơn,Doanh thu chưa thực hiện tử hoạt động xây dựng đã xuất hóa đơn,51.450.811.817,110.526.564.549,51450811817.0,110526564549.0
Các doanh thu chưa thực hiện khác,Dải hạn: > Các doanh thu chưa thực hiện khác,Các doanh thu chưa thực hiện khác,58.899.757.755,142.590.058.425,58899757755.0,142590058425.0
Cộng,Dải hạn: > Cộng,Cộng,3.261.041.237.181,2.902.609.037.937,3261041237181.0,2902609037937.0
