row_label_raw,row_label_full,col_0,Các khoản mục thuộc vốn chủ sở hữu,Các khoản mục thuộc vốn chủ sở hữu_1,Các khoản mục thuộc vốn chủ sở hữu_2,Các khoản mục thuộc vốn chủ sở hữu_3,Các khoản mục thuộc vốn chủ sở hữu_4,Các khoản mục thuộc vốn chủ sở hữu_5,Các khoản mục thuộc vốn chủ sở hữu_6,Các khoản mục thuộc vốn chủ sở hữu_7,Các khoản mục thuộc vốn chủ sở hữu_8,Các khoản mục thuộc vốn chủ sở hữu_9,Các khoản mục thuộc vốn chủ sở hữu_10,Các khoản mục thuộc vốn chủ sở hữu_11,numeric__Các khoản mục thuộc vốn chủ sở hữu,numeric__Các khoản mục thuộc vốn chủ sở hữu_1,numeric__Các khoản mục thuộc vốn chủ sở hữu_2,numeric__Các khoản mục thuộc vốn chủ sở hữu_3,numeric__Các khoản mục thuộc vốn chủ sở hữu_4,numeric__Các khoản mục thuộc vốn chủ sở hữu_5,numeric__Các khoản mục thuộc vốn chủ sở hữu_6,numeric__Các khoản mục thuộc vốn chủ sở hữu_7,numeric__Các khoản mục thuộc vốn chủ sở hữu_8,numeric__Các khoản mục thuộc vốn chủ sở hữu_9,numeric__Các khoản mục thuộc vốn chủ sở hữu_10,numeric__Các khoản mục thuộc vốn chủ sở hữu_11
,,,Vốn góp của chủ sở hữu,Thặng dư vốn chủ sở hữu,Vốn khác thuộc VCSH,Chênh lệch đánh giá lại tài sản (*),Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Quỹ sắp xếp doanh nghiệp,Lợi nhuận sau thuế chưa phân phối,Nguồn vốn đầu tư XDCB,Lợi ích cổ đông không kiểm soát,Cộng,,,,,,,,,,,,
Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,3.083.220,105.704,75.027,41.354,-,332.932,21.034,50.818,576.999,3.056,1.898.171,6.188.315,3083220.0,105704.0,75027.0,41354.0,,332932.0,21034.0,50818.0,576999.0,3056.0,1898171.0,6188315.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,-,346.764,-,244.366,591.130,,,,,,,,,346764.0,,244366.0,591130.0
Trích lập quỹ thuộc nguồn vốn,Trích lập quỹ thuộc nguồn vốn,Trích lập quỹ thuộc nguồn vốn,-,-,-,-,-,54.902,-,-,(54.902),-,-,-,,,,,,54902.0,,,-54902.0,,,
"Trích lập quỹ KTPL, Ban điều hành","Trích lập quỹ KTPL, Ban điều hành","Trích lập quỹ KTPL, Ban điều hành",-,-,-,-,-,-,-,-,(50.832),-,(28.899),(79.731),,,,,,,,,-50832.0,,-28899.0,-79731.0
Chia tổ tức,Chia tổ tức,Chia tổ tức,-,-,-,-,-,-,-,-,-,-,(120.726),(120.726),,,,,,,,,,,-120726.0,-120726.0
Tăng từ liên kết,Tăng từ liên kết,Tăng từ liên kết,-,-,-,-,-,-,-,-,2.445,-,-,2.445,,,,,,,,,2445.0,,,2445.0
Tăng/Giảm do mất quyền kiểm soát Công ty con,Tăng/Giảm do mất quyền kiểm soát Công ty con,Tăng/Giảm do mất quyền kiểm soát Công ty con,-,-,-,5.554,-,(15.538),-,-,-,-,(26.536),(36.520),,,,5554.0,,-15538.0,,,,,-26536.0,-36520.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,699.425,-,8.388,(680.839),-,(25.367),-,-,-,-,246.000,247.607,699425.0,,8388.0,-680839.0,,-25367.0,,,,,246000.0,247607.0
Tăng/giảm khác,Tăng/giảm khác,Tăng/giảm khác,-,-,5.544,-,-,-,(1.607),5.929,662,-,370,10.898,,,5544.0,,,,-1607.0,5929.0,662.0,,370.0,10898.0
