row_label_raw,row_label_full,col_0,Từ 01/01/2017đến 31/12/2017VND,Từ 01/02/2016đến 31/12/2016VND,numeric__Từ 01/01/2017đến 31/12/2017VND,numeric__Từ 01/02/2016đến 31/12/2016VND
"Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay",149.947.734.326,110.489.262.888,149947734326.0,110489262888.0
"Cố tức, lợi nhuận được chia","Cố tức, lợi nhuận được chia","Cố tức, lợi nhuận được chia",12.807.721.163,13.053.195.770,12807721163.0,13053195770.0
Lãi chênh lệch tỷ giả đã thực hiện,Lãi chênh lệch tỷ giả đã thực hiện,Lãi chênh lệch tỷ giả đã thực hiện,28.691.613,3.656.264.407,28691613.0,3656264407.0
Lãi bán các khoản đầu tư,Lãi bán các khoản đầu tư,Lãi bán các khoản đầu tư,20.861.761.027,376.768.400,20861761027.0,376768400.0
Khác,Khác,Khác,3.740.712.888,6.520.663.952,3740712888.0,6520663952.0
Cộng,Cộng,Cộng,187.386.621.017,134.096.155.417,187386621017.0,134096155417.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,
,,,Từ 01/01/2017đến 31/12/2017VND,Từ 01/02/2016đến 31/12/2016VND,,
Chi phí lãi vay,Chi phí tài chính > Chi phí lãi vay,Chi phí lãi vay,104.092.727.137,121.515.953.358,104092727137.0,121515953358.0
Lỗ chênh lệch tỷ giả,Chi phí tài chính > Lỗ chênh lệch tỷ giả,Lỗ chênh lệch tỷ giả,98.862.544.103,54.246.794.748,98862544103.0,54246794748.0
Chi phí tài chính khác,Chi phí tài chính > Chi phí tài chính khác,Chi phí tài chính khác,3.723.630.319,349.881.938,3723630319.0,349881938.0
Cộng,Chi phí tài chính > Cộng,Cộng,206.678.901.559,176.112.630.044,206678901559.0,176112630044.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
,,,Từ 01/01/2017đến 31/12/2017VND,Từ 01/02/2016đến 31/12/2016VND,,
Chi phí nhân viên,Chi phí bán hàng > Chi phí nhân viên,Chi phí nhân viên,24.947.679.487,21.836.237.268,24947679487.0,21836237268.0
"Chi phí nguyên liệu, vật liệu","Chi phí bán hàng > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",41.562.295.122,29.922.413.992,41562295122.0,29922413992.0
Chi phí hoa hồng,Chi phí bán hàng > Chi phí hoa hồng,Chi phí hoa hồng,8.087.748.012,6.140.375.458,8087748012.0,6140375458.0
Chi phí vận chuyển,Chi phí bán hàng > Chi phí vận chuyển,Chi phí vận chuyển,2.344.919.080,1.044.132.200,2344919080.0,1044132200.0
Chi phí khác bằng tiền,Chi phí bán hàng > Chi phí khác bằng tiền,Chi phí khác bằng tiền,61.099.248.433,53.099.393.065,61099248433.0,53099393065.0
Cộng,Chi phí bán hàng > Cộng,Cộng,138.041.890.134,112.042.551.983,138041890134.0,112042551983.0
