row_label_raw,row_label_full,NGUỒN VỐN,Mã số,TM,Tại ngày 31/12/2017,Tại ngày 01/01/2017 (Xem TM số 12),numeric__Mã số,numeric__TM,numeric__Tại ngày 31/12/2017,numeric__Tại ngày 01/01/2017 (Xem TM số 12)
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,,9.118.316.718.010,8.250.120.000.710,300.0,,9118316718010.0,8250120000710.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,2.727.067.949.062,2.485.505.220.287,310.0,,2727067949062.0,2485505220287.0
1. Nợ phải trả người bán ngắn hạn,1. Nợ phải trả người bán ngắn hạn,1. Nợ phải trả người bán ngắn hạn,311,(4.15),513.485.274.824,338.131.393.796,311.0,-415.0,513485274824.0,338131393796.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,(4.16),256.908.083.040,388.728.396.713,312.0,-416.0,256908083040.0,388728396713.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,(4.17),36.544.653.125,241.102.391.831,313.0,-417.0,36544653125.0,241102391831.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,(4.18),102.745.592.257,96.606.081.587,314.0,-418.0,102745592257.0,96606081587.0
5. Chỉ phí phải trả ngắn hạn,5. Chỉ phí phải trả ngắn hạn,5. Chỉ phí phải trả ngắn hạn,315,(4.19),116.289.655.113,118.799.103.506,315.0,-419.0,116289655113.0,118799103506.0
6. Phải trả theo tiến độ kế hoạch HĐXD,6. Phải trả theo tiến độ kế hoạch HĐXD,6. Phải trả theo tiến độ kế hoạch HĐXD,317,,,10.112.000.000,317.0,,,10112000000.0
7. Doanh thu chưa thực hiện ngắn hạn,7. Doanh thu chưa thực hiện ngắn hạn,7. Doanh thu chưa thực hiện ngắn hạn,318,(4.20),113.921.423.168,118.570.403.875,318.0,-420.0,113921423168.0,118570403875.0
8. Phải trả ngắn hạn khác,8. Phải trả ngắn hạn khác,8. Phải trả ngắn hạn khác,319,(4.21),318.334.948.951,315.153.785.999,319.0,-421.0,318334948951.0,315153785999.0
9. Vay và nợ thuê tài chính ngắn hạn,9. Vay và nợ thuê tài chính ngắn hạn,9. Vay và nợ thuê tài chính ngắn hạn,320,(4.22),1.131.856.513.601,743.465.743.511,320.0,-422.0,1131856513601.0,743465743511.0
10. Dự phòng phải trả ngắn hạn,10. Dự phòng phải trả ngắn hạn,10. Dự phòng phải trả ngắn hạn,321,(4.23),14.051.992.980,7.924.000.000,321.0,-423.0,14051992980.0,7924000000.0
"11. Quỹ khen thưởng, phúc lợi","11. Quỹ khen thưởng, phúc lợi","11. Quỹ khen thưởng, phúc lợi",322,(4.24),122.929.812.003,106.911.919.469,322.0,-424.0,122929812003.0,106911919469.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,6.391.248.768.948,5.764.614.780.423,330.0,,6391248768948.0,5764614780423.0
1. Phải trả người bán dài hạn,1. Phải trả người bán dài hạn,1. Phải trả người bán dài hạn,331,,,17.516.875.308,331.0,,,17516875308.0
2. Người mua trả tiền trước dài hạn,2. Người mua trả tiền trước dài hạn,2. Người mua trả tiền trước dài hạn,332,(4.16),8.026.078.158,11.124.122.555,332.0,-416.0,8026078158.0,11124122555.0
3. Chỉ phí phải trả dài hạn,3. Chỉ phí phải trả dài hạn,3. Chỉ phí phải trả dài hạn,333,(4.19),280.082.300.410,202.185.803.690,333.0,-419.0,280082300410.0,202185803690.0
4. Doanh thu chưa thực hiện dài hạn,4. Doanh thu chưa thực hiện dài hạn,4. Doanh thu chưa thực hiện dài hạn,336,(4.20),3.261.041.237.181,2.902.609.037.937,336.0,-420.0,3261041237181.0,2902609037937.0
5. Phải trả dài hạn khác,5. Phải trả dài hạn khác,5. Phải trả dài hạn khác,337,(4.21),344.638.611.025,192.374.771.509,337.0,-421.0,344638611025.0,192374771509.0
6. Vay và nợ thuê tài chính dài hạn,6. Vay và nợ thuê tài chính dài hạn,6. Vay và nợ thuê tài chính dài hạn,338,(4.22),2.495.748.597.365,2.438.539.234.017,338.0,-422.0,2495748597365.0,2438539234017.0
7. Dự phòng phải trả dài hạn,7. Dự phòng phải trả dài hạn,7. Dự phòng phải trả dài hạn,342,,1.711.944.809,264.935.407,342.0,,1711944809.0,264935407.0
