row_label_raw,row_label_full,col_0,Tại ngày31/12/2017VND,Tại ngày01/01/2017VND,numeric__Tại ngày31/12/2017VND,numeric__Tại ngày01/01/2017VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Tiền thuê đất tại Khu Công nghiệp Biên Hòa 1 - Xem thêm mục 3.13,Ngắn hạn: > Tiền thuê đất tại Khu Công nghiệp Biên Hòa 1 - Xem thêm mục 3.13,Tiền thuê đất tại Khu Công nghiệp Biên Hòa 1 - Xem thêm mục 3.13,25.389.111.706,,25389111706.0,
Công cụ dụng cụ,Ngắn hạn: > Công cụ dụng cụ,Công cụ dụng cụ,1.084.165.050,187.033.184,1084165050.0,187033184.0
Các khoản khác,Ngắn hạn: > Các khoản khác,Các khoản khác,5.419.865.085,4.048.573.383,5419865085.0,4048573383.0
Cộng,Ngắn hạn: > Cộng,Cộng,31.893.141.841,4.235.606.567,31893141841.0,4235606567.0
Dải hạn:,Dải hạn:,Dải hạn:,Dải hạn:,Dải hạn:,,
Tiền thuê đất trả trước một lần cho thời gian thuê (*),Dải hạn: > Tiền thuê đất trả trước một lần cho thời gian thuê (*),Tiền thuê đất trả trước một lần cho thời gian thuê (*),257.457.524.791,279.527.865.572,257457524791.0,279527865572.0
Chi phí trả trước kinh doanh đất,Dải hạn: > Chi phí trả trước kinh doanh đất,Chi phí trả trước kinh doanh đất,48.717.831.963,25.805.721.649,48717831963.0,25805721649.0
"Công cụ, dụng cụ, chi phí khác chờ phân bổ","Dải hạn: > Công cụ, dụng cụ, chi phí khác chờ phân bổ","Công cụ, dụng cụ, chi phí khác chờ phân bổ",8.920.704.132,6.914.546.627,8920704132.0,6914546627.0
Lợi thể kinh doanh khi xác định giá trị doanh nghiệp,Dải hạn: > Lợi thể kinh doanh khi xác định giá trị doanh nghiệp,Lợi thể kinh doanh khi xác định giá trị doanh nghiệp,7.135.302.875,15.291.143.269,7135302875.0,15291143269.0
Trả trước tiền đến bù giải phóng mặt bằng KCN Thạnh Phú,Dải hạn: > Trả trước tiền đến bù giải phóng mặt bằng KCN Thạnh Phú,Trả trước tiền đến bù giải phóng mặt bằng KCN Thạnh Phú,58.336.986.568,,58336986568.0,
Chi phí trả trước dài hạn khác,Dải hạn: > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,255.126.441.443,243.367.704.506,255126441443.0,243367704506.0
Cộng,Dải hạn: > Cộng,Cộng,635.694.791.772,570.906.981.623,635694791772.0,570906981623.0
