row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,Tại ngày 31/12/2017,Tại ngày 01/01/2017 (Xem TM số 12),numeric__Mã số,numeric__TM,numeric__Tại ngày 31/12/2017,numeric__Tại ngày 01/01/2017 (Xem TM số 12)
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,5.370.950.629.688,5.159.636.642.388,100.0,,5370950629688.0,5159636642388.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,(4.1),1.021.899.574.185,1.438.386.955.458,110.0,-41.0,1021899574185.0,1438386955458.0
1. Tiền,1. Tiền,1. Tiền,111,,407.012.155.621,278.684.223.266,111.0,,407012155621.0,278684223266.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,614.887.418.564,1.159.702.732.192,112.0,,614887418564.0,1159702732192.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,1.875.665.000.000,1.256.220.000.000,120.0,,1875665000000.0,1256220000000.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,(4.2),1.875.665.000.000,1.256.220.000.000,123.0,-42.0,1875665000000.0,1256220000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,1.490.605.257.962,1.401.614.988.370,130.0,,1490605257962.0,1401614988370.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,(4.3),646.199.187.390,659.818.633.779,131.0,-43.0,646199187390.0,659818633779.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,(4.4),748.774.244.740,650.024.873.451,132.0,-44.0,748774244740.0,650024873451.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,(4.5),15.000.000.000,20.000.000.000,135.0,-45.0,15000000000.0,20000000000.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,(4.6),115.379.443.458,97.566.017.845,136.0,-46.0,115379443458.0,97566017845.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,(4.7),(34.747.617.626),(25.794.536.705),137.0,-47.0,-34747617626.0,-25794536705.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,,831.321.876.810,979.884.051.358,140.0,,831321876810.0,979884051358.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,(4.8),831.321.876.810,979.884.051.358,141.0,-48.0,831321876810.0,979884051358.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,151.458.920.731,83.530.647.202,150.0,,151458920731.0,83530647202.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,(4.14),31.893.141.841,4.235.606.567,151.0,-414.0,31893141841.0,4235606567.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,53.106.311.567,33.126.558.744,152.0,,53106311567.0,33126558744.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,(4.17),65.758.672.780,45.416.838.809,153.0,-417.0,65758672780.0,45416838809.0
4. Tài sản ngắn hạn khác,4. Tài sản ngắn hạn khác,4. Tài sản ngắn hạn khác,155,,700.794.543,751.643.082,155.0,,700794543.0,751643082.0
