row_label_raw,row_label_full,col_0,Tại ngày31/12/2017VND,Tại ngày01/01/2017VND,numeric__Tại ngày31/12/2017VND,numeric__Tại ngày01/01/2017VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Chi phí hạ tầng trích trước hoạt động chuyển quyền sử dụng đất khu dân cư An Bình,Ngắn hạn: > Chi phí hạ tầng trích trước hoạt động chuyển quyền sử dụng đất khu dân cư An Bình,Chi phí hạ tầng trích trước hoạt động chuyển quyền sử dụng đất khu dân cư An Bình,18.694.341.109,19.513.246.034,18694341109.0,19513246034.0
Trích trước khoản chi phí đến bù và xây dựng hạ tầng khu quy hoạch nhà ở phường Tân Phong,Ngắn hạn: > Trích trước khoản chi phí đến bù và xây dựng hạ tầng khu quy hoạch nhà ở phường Tân Phong,Trích trước khoản chi phí đến bù và xây dựng hạ tầng khu quy hoạch nhà ở phường Tân Phong,19.405.255.264,19.405.255.263,19405255264.0,19405255263.0
Chi phí đầu tư hạ tầng tỉnh theo suất đầu tư Khu công nghiệp Giang Điền,Ngắn hạn: > Chi phí đầu tư hạ tầng tỉnh theo suất đầu tư Khu công nghiệp Giang Điền,Chi phí đầu tư hạ tầng tỉnh theo suất đầu tư Khu công nghiệp Giang Điền,18.073.650.159,30.589.520.088,18073650159.0,30589520088.0
Chi phí phải trả khác,Ngắn hạn: > Chi phí phải trả khác,Chi phí phải trả khác,60.116.408.581,49.291.082.121,60116408581.0,49291082121.0
Cộng,Ngắn hạn: > Cộng,Cộng,116.289.655.113,118.799.103.506,116289655113.0,118799103506.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Chi phí trích trước tạm tính giả vốn kinh doanh Khu công nghiệp,Dài hạn: > Chi phí trích trước tạm tính giả vốn kinh doanh Khu công nghiệp,Chi phí trích trước tạm tính giả vốn kinh doanh Khu công nghiệp,271.210.474.819,202.185.803.690,271210474819.0,202185803690.0
Chi phí phải trả khác,Dài hạn: > Chi phí phải trả khác,Chi phí phải trả khác,8.871.825.591,-,8871825591.0,
Cộng,Dài hạn: > Cộng,Cộng,280.082.300.410,202.185.803.690,280082300410.0,202185803690.0
