row_label_raw,row_label_full,col_0,Các khoản mục thuộc vốn chủ sở hữu,Các khoản mục thuộc vốn chủ sở hữu_1,Các khoản mục thuộc vốn chủ sở hữu_2,Các khoản mục thuộc vốn chủ sở hữu_3,Các khoản mục thuộc vốn chủ sở hữu_4,Các khoản mục thuộc vốn chủ sở hữu_5,Các khoản mục thuộc vốn chủ sở hữu_6,Các khoản mục thuộc vốn chủ sở hữu_7,Các khoản mục thuộc vốn chủ sở hữu_8,Các khoản mục thuộc vốn chủ sở hữu_9,Các khoản mục thuộc vốn chủ sở hữu_10,Các khoản mục thuộc vốn chủ sở hữu_11,numeric__Các khoản mục thuộc vốn chủ sở hữu,numeric__Các khoản mục thuộc vốn chủ sở hữu_1,numeric__Các khoản mục thuộc vốn chủ sở hữu_2,numeric__Các khoản mục thuộc vốn chủ sở hữu_3,numeric__Các khoản mục thuộc vốn chủ sở hữu_4,numeric__Các khoản mục thuộc vốn chủ sở hữu_5,numeric__Các khoản mục thuộc vốn chủ sở hữu_6,numeric__Các khoản mục thuộc vốn chủ sở hữu_7,numeric__Các khoản mục thuộc vốn chủ sở hữu_8,numeric__Các khoản mục thuộc vốn chủ sở hữu_9,numeric__Các khoản mục thuộc vốn chủ sở hữu_10,numeric__Các khoản mục thuộc vốn chủ sở hữu_11
,,,Vốn góp của chủ sở hữu,Thặng dư vốn chủ sở hữu,Vốn khác thuộc VCSH,Chênh lệch đánh giá lại tài sản (*),Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Quỹ sắp xếp doanh nghiệp,Lợi nhuận sau thuế chưa phân phối,Nguồn vốn đầu tư XDCB,Lợi ích cổ đông không kiểm soát,Cộng,,,,,,,,,,,,
Tại ngày 01/02/2016,Tại ngày 01/02/2016,Tại ngày 01/02/2016,3.011.184,105.369,66.638,67.678,115,299.690,18.443,132.933,402.765,2.969,1.805.713,5.913.497,3011184.0,105369.0,66638.0,67678.0,115.0,299690.0,18443.0,132933.0,402765.0,2969.0,1805713.0,5913497.0
Tăng vốn năm trước,Tăng vốn năm trước,Tăng vốn năm trước,-,-,8.389,-,-,(8.389),-,6.200,-,-,-,6.200,,,8389.0,,,-8389.0,,6200.0,,,,6200.0
Ngân sách nhà nước cấp bổ sung trong năm,Ngân sách nhà nước cấp bổ sung trong năm,Ngân sách nhà nước cấp bổ sung trong năm,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
Tăng vốn trong năm,Ngân sách nhà nước cấp bổ sung trong năm > Tăng vốn trong năm,Tăng vốn trong năm,72.406,-,-,-,-,-,-,(72.864),-,-,-,(458),72406.0,,,,,,,-72864.0,,,,-458.0
Giảm vốn chuyển tăng quỹ hỗ trợ sắp xếp doanh nghiệp,Giảm vốn chuyển tăng quỹ hỗ trợ sắp xếp doanh nghiệp,Giảm vốn chuyển tăng quỹ hỗ trợ sắp xếp doanh nghiệp,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
Lãi trong năm trước,Giảm vốn chuyển tăng quỹ hỗ trợ sắp xếp doanh nghiệp > Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,-,-,-,397.278,-,206.360,603.638,,,,,,,,,397278.0,,206360.0,603638.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
Nộp tiền thu từ cổ phần hóa,Tăng khác > Nộp tiền thu từ cổ phần hóa,Nộp tiền thu từ cổ phần hóa,-,-,-,-,-,-,-,(16.089),-,-,-,(16.089),,,,,,,,-16089.0,,,,-16089.0
Trích lập quỹ thuộc nguồn vốn,Tăng khác > Trích lập quỹ thuộc nguồn vốn,Trích lập quỹ thuộc nguồn vốn,-,-,-,-,-,44.780,2.591,-,(47.371),-,-,-,,,,,,44780.0,2591.0,,-47371.0,,,
"Trích lập quỹ KTPL, Ban điều hành","Tăng khác > Trích lập quỹ KTPL, Ban điều hành","Trích lập quỹ KTPL, Ban điều hành",-,-,-,-,-,-,-,-,(58.101),-,(22.589),(80.690),,,,,,,,,-58101.0,,-22589.0,-80690.0
Nộp lợi nhuận về ngân sách nhà nước,Tăng khác > Nộp lợi nhuận về ngân sách nhà nước,Nộp lợi nhuận về ngân sách nhà nước,-,-,-,-,-,-,-,-,(127.470),-,-,(127.470),,,,,,,,,-127470.0,,,-127470.0
Điều chính cổ tức của năm 2015 theo Nghị quyết ĐHCD các Công ty đầu tư,Tăng khác > Điều chính cổ tức của năm 2015 theo Nghị quyết ĐHCD các Công ty đầu tư,Điều chính cổ tức của năm 2015 theo Nghị quyết ĐHCD các Công ty đầu tư,-,-,-,-,-,-,-,-,33.955,-,-,33.955,,,,,,,,,33955.0,,,33955.0
