row_label_raw,row_label_full,STT,Tên công ty,Giá trị đánh giá lại VND,numeric__Tên công ty,numeric__Giá trị đánh giá lại VND
,,,Công ty con,Công ty con,,
1.,1.,1.,Công ty Cổ phần Cáp nước Đồng Nai,9.951.757.800,,9951757800.0
2.,2.,2.,Công ty Cổ phần Cáng Đồng Nai,151.139.520.000,,151139520000.0
3.,3.,3.,Công ty Cổ phần Đầu tư xây dựng và Vật liệu Đồng Nai,7.527.007.879,,7527007879.0
4.,4.,4.,Công ty Cổ phần kinh doanh nhà Đồng Nai,22.283.456.432,,22283456432.0
5.,5.,5.,Công ty Cổ phần phát triển đô thị công nghiệp số 2,141.384.600.000,,141384600000.0
6.,6.,6.,Công ty Cổ phần Sonadezi Long Thành,126.526.600.000,,126526600000.0
7.,7.,7.,Công ty Cổ phần Sonadezi Long Bình,59.921.548.659,,59921548659.0
8.,8.,8.,Công ty Cổ phần Sonadezi An Bình,16.815.054.500,,16815054500.0
9.,9.,9.,Công ty Cổ phần Dịch vụ Sonadezi,11.000.000.000,,11000000000.0
10.,10.,10.,Công ty Cổ phần Sonadezi Châu Đức,2.374.994.508,,2374994508.0
,,,Cộng,548.924.539.778,,548924539778.0
,,,Công ty liên kết,Công ty liên kết,,
1.,1.,1.,Công ty Cổ phần Xây dựng Đồng Nai,7.862.370.888,,7862370888.0
2.,2.,2.,Công ty Cổ phần Sơn Đồng Nai,8.341.516.800,,8341516800.0
3.,3.,3.,Công ty Cổ phần Xây dựng dân dụng công nghiệp số 1- Đồng Nai,2.822.890.437,,2822890437.0
4.,4.,4.,Công ty Cổ phần Bến xe và Dịch vụ Vận tải Đồng Nai,1.743.847.826,,1743847826.0
,,,Cộng,20.770.625.951,,20770625951.0
,,,Tổng cộng,569.695.165.729,,569695165729.0
