row_label_raw,row_label_full,Đầu tư vào đơn vị khác:,Tại ngày 31/12/2017 > Giá trị ghi số > Đầu tư vào đơn vị khác:,Tại ngày 31/12/2017 > Giá trị hợp lý > Đầu tư vào đơn vị khác:,Tại ngày 31/12/2017 > Dự phòng > Đầu tư vào đơn vị khác:,Tại ngày 01/01/2017 > Giá trị ghi số > Đầu tư vào đơn vị khác:,Tại ngày 01/01/2017 > Giá trị hợp lý > Đầu tư vào đơn vị khác:,Tại ngày 01/01/2017 > Dự phòng > Đầu tư vào đơn vị khác:,numeric__Tại ngày 31/12/2017 > Giá trị ghi số > Đầu tư vào đơn vị khác:,numeric__Tại ngày 31/12/2017 > Giá trị hợp lý > Đầu tư vào đơn vị khác:,numeric__Tại ngày 31/12/2017 > Dự phòng > Đầu tư vào đơn vị khác:,numeric__Tại ngày 01/01/2017 > Giá trị ghi số > Đầu tư vào đơn vị khác:,numeric__Tại ngày 01/01/2017 > Giá trị hợp lý > Đầu tư vào đơn vị khác:,numeric__Tại ngày 01/01/2017 > Dự phòng > Đầu tư vào đơn vị khác:
Công ty Cổ phần đầu khí đầu tư khai thác Cảng,Công ty Cổ phần đầu khí đầu tư khai thác Cảng,Công ty Cổ phần đầu khí đầu tư khai thác Cảng,,,,,,,,,,,,
Phước An,Công ty Cổ phần đầu khí đầu tư khai thác Cảng > Phước An,Phước An,71.446.310.986,,(570.422.308),71.446.310.986,,-,71446310986.0,,-570422308.0,71446310986.0,,
Công ty Cổ phần Amata,Công ty Cổ phần đầu khí đầu tư khai thác Cảng > Công ty Cổ phần Amata,Công ty Cổ phần Amata,41.550.395.294,,-,41.550.395.294,,-,41550395294.0,,,41550395294.0,,
Ngân hàng TMCP Phát triển thành phố Hồ Chí Minh,Công ty Cổ phần đầu khí đầu tư khai thác Cảng > Ngân hàng TMCP Phát triển thành phố Hồ Chí Minh,Ngân hàng TMCP Phát triển thành phố Hồ Chí Minh,-,,-,45.971.260.481,,-,,,,45971260481.0,,
Công ty CP Cấp nước Châu Đức,Công ty Cổ phần đầu khí đầu tư khai thác Cảng > Công ty CP Cấp nước Châu Đức,Công ty CP Cấp nước Châu Đức,15.000.000.000,,-,12.000.000.000,,-,15000000000.0,,,12000000000.0,,
Công ty TNHH Xăng dầu Vĩnh Phú,Công ty Cổ phần đầu khí đầu tư khai thác Cảng > Công ty TNHH Xăng dầu Vĩnh Phú,Công ty TNHH Xăng dầu Vĩnh Phú,500.000.000,,,2.000.000.000,,,500000000.0,,,2000000000.0,,
Công ty Cổ phần Cấu Kiện Bê Tống Nhon Trạch 2,Công ty Cổ phần đầu khí đầu tư khai thác Cảng > Công ty Cổ phần Cấu Kiện Bê Tống Nhon Trạch 2,Công ty Cổ phần Cấu Kiện Bê Tống Nhon Trạch 2,11.250.000.000,,(2.981.611.392),11.250.000.000,,(4.161.670.370),11250000000.0,,-2981611392.0,11250000000.0,,-4161670370.0
Công ty Cổ phần Địa Оc Thảo Điền,Công ty Cổ phần đầu khí đầu tư khai thác Cảng > Công ty Cổ phần Địa Оc Thảo Điền,Công ty Cổ phần Địa Оc Thảo Điền,10.000.000.000,,-,10.000.000.000,,-,10000000000.0,,,10000000000.0,,
Công ty Cổ phần Đầu tư và Xây dựng Cầu Đồng Nai (BOT Cầu Đồng Nai),Công ty Cổ phần đầu khí đầu tư khai thác Cảng > Công ty Cổ phần Đầu tư và Xây dựng Cầu Đồng Nai (BOT Cầu Đồng Nai),Công ty Cổ phần Đầu tư và Xây dựng Cầu Đồng Nai (BOT Cầu Đồng Nai),73.528.689.000,,-,1.012.500.000,,-,73528689000.0,,,1012500000.0,,
Nền nhà tại Khu Thiên Hà,Công ty Cổ phần đầu khí đầu tư khai thác Cảng > Nền nhà tại Khu Thiên Hà,Nền nhà tại Khu Thiên Hà,1.308.580.000,,-,1.308.580.000,,-,1308580000.0,,,1308580000.0,,
Công ty Cổ phần Cấp Nước Long Khánh,Công ty Cổ phần đầu khí đầu tư khai thác Cảng > Công ty Cổ phần Cấp Nước Long Khánh,Công ty Cổ phần Cấp Nước Long Khánh,1.054.088.000,,-,1.054.088.000,,-,1054088000.0,,,1054088000.0,,
Công ty Cổ phần Công trình Giao thông Đồng Nai,Công ty Cổ phần đầu khí đầu tư khai thác Cảng > Công ty Cổ phần Công trình Giao thông Đồng Nai,Công ty Cổ phần Công trình Giao thông Đồng Nai,1.711.890.000,2.580.240.000,-,-,,-,1711890000.0,2580240000.0,,,,
Đầu tư dài hạn khác,Công ty Cổ phần đầu khí đầu tư khai thác Cảng > Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,,-,819.568.880,,-,,,,819568880.0,,
Cộng,Công ty Cổ phần đầu khí đầu tư khai thác Cảng > Cộng,Cộng,227.349.953.280,,(3.552.033.700),198.412.703.641,,(4.161.670.370),227349953280.0,,-3552033700.0,198412703641.0,,-4161670370.0
