row_label_raw,row_label_full,NGUỒN VỐN,Mã số,TM,Tại ngày 31/12/2017,Tại ngày 01/01/2017 (Xem TM số 12),numeric__Mã số,numeric__TM,numeric__Tại ngày 31/12/2017,numeric__Tại ngày 01/01/2017 (Xem TM số 12)
D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,400,,6.722.702.893.499,6.285.523.512.004,400.0,,6722702893499.0,6285523512004.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,(4.25.1),6.627.772.487.881,6.188.315.232.060,410.0,-4251.0,6627772487881.0,6188315232060.0
1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,411,,3.765.000.000.000,3.083.219.736.832,411.0,,3765000000000.0,3083219736832.0
Cổ phiếu phổ thông có quyền biểu quyết,Cổ phiếu phổ thông có quyền biểu quyết,Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.765.000.000.000,,,,3765000000000.0,
2. Thắng dư vốn cổ phần,2. Thắng dư vốn cổ phần,2. Thắng dư vốn cổ phần,412,,105.704.219.146,105.704.219.146,412.0,,105704219146.0,105704219146.0
3. Vốn khác của chủ sở hữu,3. Vốn khác của chủ sở hữu,3. Vốn khác của chủ sở hữu,414,,88.958.706.002,75.026.553.001,414.0,,88958706002.0,75026553001.0
4. Chênh lệch dành giả lại tài sản,4. Chênh lệch dành giả lại tài sản,4. Chênh lệch dành giả lại tài sản,416,,(633.930.931.829),41.353.676.315,416.0,,-633930931829.0,41353676315.0
5. Quỹ đầu tư phát triển,5. Quỹ đầu tư phát triển,5. Quỹ đầu tư phát triển,418,,346.929.067.083,332.932.009.436,418.0,,346929067083.0,332932009436.0
6. Quỹ hỗ trợ sắp xếp doanh nghiệp,6. Quỹ hỗ trợ sắp xếp doanh nghiệp,6. Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,,50.818.271.758,419.0,,,50818271758.0
7. Quỹ khác thuộc vốn chủ sở hữu,7. Quỹ khác thuộc vốn chủ sở hữu,7. Quỹ khác thuộc vốn chủ sở hữu,420,,19.426.615.585,21.034.029.763,420.0,,19426615585.0,21034029763.0
8. Lợi nhuận sau thuế chưa phân phối,8. Lợi nhuận sau thuế chưa phân phối,8. Lợi nhuận sau thuế chưa phân phối,421,,719.882.546.073,576.999.501.003,421.0,,719882546073.0,576999501003.0
LNST chưa phân phối lũy kế đến CK trước,LNST chưa phân phối lũy kế đến CK trước,LNST chưa phân phối lũy kế đến CK trước,421a,,215.089.061.671,156.407.759.268,,,215089061671.0,156407759268.0
LNST chưa phân phối kỳ này,LNST chưa phân phối kỳ này,LNST chưa phân phối kỳ này,421b,,504.793.484.402,420.591.741.735,,,504793484402.0,420591741735.0
9. Nguồn vốn đầu tư XDCB,9. Nguồn vốn đầu tư XDCB,9. Nguồn vốn đầu tư XDCB,422,,3.056.212.501,3.056.212.501,422.0,,3056212501.0,3056212501.0
10. Lợi ích cổ đông không kiểm soát,10. Lợi ích cổ đông không kiểm soát,10. Lợi ích cổ đông không kiểm soát,429,,2.212.746.053.320,1.898.171.022.305,429.0,,2212746053320.0,1898171022305.0
"II. Nguồn kinh phí, quỹ khác","II. Nguồn kinh phí, quỹ khác","II. Nguồn kinh phí, quỹ khác",430,,94.930.405.618,97.208.279.944,430.0,,94930405618.0,97208279944.0
1. Nguồn kinh phí,1. Nguồn kinh phí,1. Nguồn kinh phí,431,,530.000.482,1.226.469.439,431.0,,530000482.0,1226469439.0
2. Nguồn kinh phí đã hình thành TSCĐ,2. Nguồn kinh phí đã hình thành TSCĐ,2. Nguồn kinh phí đã hình thành TSCĐ,432,,94.400.405.136,95.981.810.505,432.0,,94400405136.0,95981810505.0
TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,440,,15.841.019.611.509,14.535.643.512.714,440.0,,15841019611509.0,14535643512714.0
