row_label_raw,row_label_full,col_0,Tại ngày 31/12/2017VND,Tại ngày 31/12/2017VND_1,Tại ngày 01/01/2017VND,Tại ngày 01/01/2017VND_1,numeric__Tại ngày 31/12/2017VND,numeric__Tại ngày 31/12/2017VND_1,numeric__Tại ngày 01/01/2017VND,numeric__Tại ngày 01/01/2017VND_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",53.667.798.655,-,48.234.070.709,-,53667798655.0,,48234070709.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",2.540.662.513,-,1.931.256.453,-,2540662513.0,,1931256453.0,
Chi phí sản xuất kinh doanhđở dang:,Chi phí sản xuất kinh doanhđở dang:,Chi phí sản xuất kinh doanhđở dang:,733.239.935.635,-,872.479.674.338,-,733239935635.0,,872479674338.0,
Dự án Khu dân cư đường VõThị Sáu - Giai đoạn 2,Dự án Khu dân cư đường VõThị Sáu - Giai đoạn 2,Dự án Khu dân cư đường VõThị Sáu - Giai đoạn 2,139.371.131.000,-,264.702.850.478,-,139371131000.0,,264702850478.0,
"Dự án Khu dân cư xã LộcAn, huyện Long Thành","Dự án Khu dân cư xã LộcAn, huyện Long Thành","Dự án Khu dân cư xã LộcAn, huyện Long Thành",242.996.008.337,-,112.289.344.556,,242996008337.0,,112289344556.0,
Dự án Cầu Hóa An,Dự án Cầu Hóa An,Dự án Cầu Hóa An,,-,7.571.865.772,-,,,7571865772.0,
Dự án KDC Tràng Bom,Dự án KDC Tràng Bom,Dự án KDC Tràng Bom,21.757.060.896,-,36.811.800.001,-,21757060896.0,,36811800001.0,
Dự án Đền thở liệt sỹ thị xãLong Khánh,Dự án Đền thở liệt sỹ thị xãLong Khánh,Dự án Đền thở liệt sỹ thị xãLong Khánh,-,-,46.305.054.212,-,,,46305054212.0,
Dự án Khu S3-S4 An Hòa,Dự án Khu S3-S4 An Hòa,Dự án Khu S3-S4 An Hòa,-,-,45.066.489.093,-,,,45066489093.0,
Các dự án khác,Các dự án khác,Các dự án khác,329.115.735.402,-,359.732.270.226,-,329115735402.0,,359732270226.0,
Thành phẩm,Thành phẩm,Thành phẩm,40.244.295.535,-,4.167.165.619,-,40244295535.0,,4167165619.0,
Hàng hóa,Hàng hóa,Hàng hóa,1.629.184.472,-,1.479.374.990,-,1629184472.0,,1479374990.0,
Hàng hóa bất động sản,Hàng hóa bất động sản,Hàng hóa bất động sản,-,-,51.592.509.249,-,,,51592509249.0,
Cộng,Cộng,Cộng,831.321.876.810,-,979.884.051.358,-,831321876810.0,,979884051358.0,
