row_label_raw,row_label_full,col_0,Tại ngày01/02/2016VND(Được báo cáo lại),Tại ngày01/02/2016VND(Đã được báo cáo trước đây),numeric__Tại ngày01/02/2016VND(Được báo cáo lại),numeric__Tại ngày01/02/2016VND(Đã được báo cáo trước đây)
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,637.443.835.261,633.057.561.397,637443835261.0,633057561397.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,232.001.986.539,229.175.597.650,232001986539.0,229175597650.0
TSCĐ hữu hình,TSCĐ hữu hình,TSCĐ hữu hình,3.280.693.381.404,3.613.638.868.635,3280693381404.0,3613638868635.0
+ Nguyên giá,+ Nguyên giá,+ Nguyên giá,5.420.923.943.047,5.763.805.348.838,5420923943047.0,5763805348838.0
+ Giá trị hao món lũy kế,+ Giá trị hao món lũy kế,+ Giá trị hao món lũy kế,(2.140.230.561.643),(2.150.166.480.203),-2140230561643.0,-2150166480203.0
TSCĐ vô hình,TSCĐ vô hình,TSCĐ vô hình,434.535.401.514,100.214.071.910,434535401514.0,100214071910.0
+ Nguyên giá,+ Nguyên giá,+ Nguyên giá,513.046.432.666,170.165.026.875,513046432666.0,170165026875.0
+ Giá trị hao môn lũy kế,+ Giá trị hao môn lũy kế,+ Giá trị hao môn lũy kế,(78.511.031.152),(69.950.954.965),-78511031152.0,-69950954965.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,2.158.883.983.786,2.158.519.427.166,2158883983786.0,2158519427166.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,213.660.679.953,212.858.797.437,213660679953.0,212858797437.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,74.375.604.611,73.135.455.886,74375604611.0,73135455886.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,105.367.872.578,106.688.407.255,105367872578.0,106688407255.0
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,,(13.654.958.885),,-13654958885.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,402.764.857.667,406.980.839.009,402764857667.0,406980839009.0
+ LNST chưa phân phối kỳ trước,+ LNST chưa phân phối kỳ trước,+ LNST chưa phân phối kỳ trước,(249.908.777.116),(249.908.777.116),-249908777116.0,-249908777116.0
+ LNST chưa phân phối kỳ này,+ LNST chưa phân phối kỳ này,+ LNST chưa phân phối kỳ này,652.673.634.783,656.889.616.125,652673634783.0,656889616125.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,1.805.712.923.901,1.805.316.571.230,1805712923901.0,1805316571230.0
Kết quả hoạt động kinh doanh hợp nhất (Trích):,Kết quả hoạt động kinh doanh hợp nhất (Trích):,Kết quả hoạt động kinh doanh hợp nhất (Trích):,Kết quả hoạt động kinh doanh hợp nhất (Trích):,Kết quả hoạt động kinh doanh hợp nhất (Trích):,,
,,,Từ ngày 01/02/2016đến 31/12/2016VND(Được báo cáo lại),Từ ngày 01/02/2016đến 31/12/2016VND(Đã được báo cáo trước đây),,
