row_label_raw,row_label_full,Danh sách các bên liên quan,Danh sách các bên liên quan_1,Môi quan hệ,numeric__Danh sách các bên liên quan_1,numeric__Môi quan hệ
1.,1.,1.,Công ty Cổ phần Sơn Đồng Nai,Công ty liên kết,,
2.,2.,2.,Công ty Cổ phần Xây dựng Dân dụng Công nghiệp số 1 Đồng Nai,Công ty liên kết,,
3.,3.,3.,Công ty Cổ phần Vận tải Thủy bổ Vĩnh Phú,Công ty liên kết đến ngày 18/07/2017,,
4.,4.,4.,Công ty Cổ phần Bến xe và Dịch vụ Vận tải Đồng Nai,Công ty liên kết,,
5.,5.,5.,Công ty Cổ phần Dịch vụ Cáng Đồng Nai,Công ty liên kết,,
6.,6.,6.,Công ty TNHH Berjaya D2D,Công ty liên kết,,
7.,7.,7.,Công ty Cổ phần Cảng Long Thành,Công ty liên kết,,
8.,8.,8.,Công ty Cổ phần Xây dựng Đồng Nai,Công ty liên kết,,
9.,9.,9.,Công ty Cổ phần Dịch vụ và Xây dựng Cấp nước Đồng Nai,Công ty liên kết,,
10.,10.,10.,Trường Cao đẳng Công nghệ và Quản trị Sonadezi,Công ty liên kết,,
11.,11.,11.,Công ty Cổ phần Cấp nước Gia Tân,Công ty liên kết,,
12.,12.,12.,Công ty Cổ phần Đầu tư Quốc lộ 91 Cần Thơ - An Giang,Công ty liên kết,,
13.,13.,13.,Công ty Cổ phần Xây lắp Sonacons,Công ty liên kết,,
14.,14.,14.,Hội đồng quản trị và Ban Tổng Giám đốc Tổng Công ty,Nhân sự quản lý chủ chốt,,
