row_label_raw,row_label_full,col_0,Tại ngày31/12/2017VND,Tại ngày01/01/2017VND,numeric__Tại ngày31/12/2017VND,numeric__Tại ngày01/01/2017VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
"Kinh phí công đoàn, Bảo hiểm xã hội,Bảo hiểm y tế, Bảo hiểm thất nghiệp","Ngắn hạn: > Kinh phí công đoàn, Bảo hiểm xã hội,Bảo hiểm y tế, Bảo hiểm thất nghiệp","Kinh phí công đoàn, Bảo hiểm xã hội,Bảo hiểm y tế, Bảo hiểm thất nghiệp",2.331.971.193,2.795.719.748,2331971193.0,2795719748.0
"Nhận ký quỹ, ký cược ngắn hạn","Ngắn hạn: > Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",63.088.580.390,38.692.945.114,63088580390.0,38692945114.0
"Cổ tức, lợi nhuận phải trả","Ngắn hạn: > Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",17.129.685.550,5.438.803.694,17129685550.0,5438803694.0
Phải trả chi phí đến bù giải tỏa,Ngắn hạn: > Phải trả chi phí đến bù giải tỏa,Phải trả chi phí đến bù giải tỏa,7.854.195.000,9.449.880.000,7854195000.0,9449880000.0
Phải trả ngân sách Nhà nước,Ngắn hạn: > Phải trả ngân sách Nhà nước,Phải trả ngân sách Nhà nước,47.783.417.263,81.520.188.432,47783417263.0,81520188432.0
Giá trị công trình xây dựng đã xuất hóa đơn,Ngắn hạn: > Giá trị công trình xây dựng đã xuất hóa đơn,Giá trị công trình xây dựng đã xuất hóa đơn,52.796.069.623,77.421.009.919,52796069623.0,77421009919.0
"Các khoản phải trả, phải nộp khác","Ngắn hạn: > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",127.351.029.932,99.835.239.092,127351029932.0,99835239092.0
Cộng,Ngắn hạn: > Cộng,Cộng,318.334.948.951,315.153.785.999,318334948951.0,315153785999.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
"Nhận ký quỹ, ký cược dài hạn","Dài hạn: > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",73.370.561.124,53.707.007.923,73370561124.0,53707007923.0
Phải trả nhà thầu Kumho - Dự án Thiện Tân giai đoạn 2,Dài hạn: > Phải trả nhà thầu Kumho - Dự án Thiện Tân giai đoạn 2,Phải trả nhà thầu Kumho - Dự án Thiện Tân giai đoạn 2,225.344.268.369,83.060.626.695,225344268369.0,83060626695.0
Phải trả Công ty Cổ phần Kinh doanh Khí hóa lông Miền Nam tiền hỗ trợ giải phóng mặt bằng,Dài hạn: > Phải trả Công ty Cổ phần Kinh doanh Khí hóa lông Miền Nam tiền hỗ trợ giải phóng mặt bằng,Phải trả Công ty Cổ phần Kinh doanh Khí hóa lông Miền Nam tiền hỗ trợ giải phóng mặt bằng,16.530.632.897,-,16530632897.0,
"Các khoản phải trả, phải nộp khác","Dài hạn: > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",29.393.148.635,55.607.136.891,29393148635.0,55607136891.0
Cộng,Dài hạn: > Cộng,Cộng,344.638.611.025,192.374.771.509,344638611025.0,192374771509.0
