row_label_raw,row_label_full,STT,Tên công ty,Địa chỉ,Ngành nghề chính,Tỷ lệ quyền biểu quyết,Tỷ lệ vốn góp,Tỷ lệ lợi ích,numeric__Tên công ty,numeric__Địa chỉ,numeric__Ngành nghề chính,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ vốn góp,numeric__Tỷ lệ lợi ích
,,,Các Công ty liên kết trực tiếp (tiếp theo),Các Công ty liên kết trực tiếp (tiếp theo),Các Công ty liên kết trực tiếp (tiếp theo),Các Công ty liên kết trực tiếp (tiếp theo),Các Công ty liên kết trực tiếp (tiếp theo),Các Công ty liên kết trực tiếp (tiếp theo),,,,,,
5.,5.,5.,Công ty Cổ phần Bến xe và Dịch vụ Vận tải Đồng Nai,"Xa lô Hà Nội, Khu phố 2, P.Bình Đa, TP. Biên Hoà,Tỉnh Đồng Nai","Khai thác bền xe, dịch vụ hành khách","36,00%","36,00%","36,00%",,,,0.36,0.36,0.36
6.,6.,6.,Công ty Cổ phần Đầu tư quốc lộ 91 Cần Thơ - An Giang,"Số 315, Đường Võ Nguyên Giáp, Xã Phước Tân, TP. Biên Hòa, Tỉnh Đồng Nai","Xây dựng công trình giao thông, đầu tư xây dựng công trình giao thông (theo phương thức hợp đồng Xây dựng – Kinh doanh – Chuyển giao(BOT))","39,72%","39,72%","39,72%",,,,0.3972,0.3972,0.3972
7.,7.,7.,Công ty Cổ phần Bông đá Đồng Nai (*),"Khuôn viên sân vận động Đồng Nai, đường Đồng Khởi, P.Tân Hiệp, TP.Biên Hoà, Tỉnh Đồng Nai",Hoạt động của các câu lạc bộ thể thao,"25,00%","25,00%","25,00%",,,,0.25,0.25,0.25
,,,Các Công ty liên kết gián tiếp,Các Công ty liên kết gián tiếp,Các Công ty liên kết gián tiếp,Các Công ty liên kết gián tiếp,Các Công ty liên kết gián tiếp,Các Công ty liên kết gián tiếp,,,,,,
1.,1.,1.,Công ty TNHH Berjaya D2D,"H22, Đường Võ Thị Sáu, Phường Thông Nhất, Thành phố Biên Hòa, Tỉnh Đồng Nai","Đầu tư và phát triển bất động sản. Đầu tư và phát triển các khu nghỉ mát, khách sạn, khu du lịch & giải trí","25,00%","25,00%","14,49%",,,,0.25,0.25,0.1449
2.,2.,2.,Công ty Cổ phần Dịch vụ Cảng Đồng Nai,"Khu phố Bình Dương, Phường Long Bình Tân, Thành phố Biên Hòa, Tỉnh Đồng Nai","Khai thác cảng, kỹ thuật,cung ứng, logistic","45,00%","45,00%","22,95%",,,,0.45,0.45,0.22949999999999998
3.,3.,3.,Công ty Cổ phần Cấp nước Gia Tân,"Số 48, Cách Mạng Tháng Tâm, Phường Quyết Thắng, Thành phố Biên Hoà, Tỉnh Đồng Nai","Khai thác, xử lý và cung cấp nước","25,00%","25,00%","16,00%",,,,0.25,0.25,0.16
4.,4.,4.,Công ty Cổ phần Dịch Vụ và Xây dựng Cấp Nước Đồng Nai,"Số 52, Cách Mạng Tháng Tâm, Phường Quyết Thắng, Thành phố Biên Hòa, Tỉnh Đồng Nai",Lắp đặt ống cấp thoát nước; thiết kế công trình dân dụng; khai thác nước phục vụ công nghiệp,"36,00%","36,00%","23,04%",,,,0.36,0.36,0.2304
5.,5.,5.,Công ty Cổ phần Cảng Long Thành,"Xã Phước Thái, Huyện Long Thành, Tỉnh Đồng Nai",Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải,"30,00%","30,00%","15,30%",,,,0.3,0.3,0.153
6.,6.,6.,Công ty Cổ phần BOT 319 Cường Thuận CTI,"Số 168, Khu phố 11, Phường An Bình, Thành phố Biên Hoà, Tỉnh Đồng Nai",Xây dựng công trình đường sắt và đường bộ,"30,00%","30,00%","20,74%",,,,0.3,0.3,0.20739999999999997
7.,7.,7.,Công ty Cổ phần Xây Lắp Sonacons,"Số 3, Đường 3, KCN Biên Hòa 1, Phường An Bình, TP Biên Hòa, Đồng Nai",Xây dựng công trình,"30,00%","30,00%","14,84%",,,,0.3,0.3,0.1484
