row_label_raw,row_label_full,col_0,Từ 01/01/2017đến 31/12/2017VND,Từ 01/02/2016đến 31/12/2016VND,numeric__Từ 01/01/2017đến 31/12/2017VND,numeric__Từ 01/02/2016đến 31/12/2016VND
Doanh thu:,Doanh thu:,Doanh thu:,Doanh thu:,Doanh thu:,,
Doanh thu bán hàng,Doanh thu: > Doanh thu bán hàng,Doanh thu bán hàng,1.269.476.156.584,851.210.659.920,1269476156584.0,851210659920.0
Doanh thu cung cấp dịch vụ,Doanh thu: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,1.304.537.820.863,1.067.915.150.092,1304537820863.0,1067915150092.0
Doanh thu xây lắp,Doanh thu: > Doanh thu xây lắp,Doanh thu xây lắp,169.640.825.852,375.260.320.401,169640825852.0,375260320401.0
Doanh thu kinh doanh bắt động sản,Doanh thu: > Doanh thu kinh doanh bắt động sản,Doanh thu kinh doanh bắt động sản,191.063.068.035,146.484.299.493,191063068035.0,146484299493.0
Doanh thu cho thuê đất và cơ sở hạ tầng,Doanh thu: > Doanh thu cho thuê đất và cơ sở hạ tầng,Doanh thu cho thuê đất và cơ sở hạ tầng,597.465.315.199,394.344.669.977,597465315199.0,394344669977.0
Khu công nghiệp,Khu công nghiệp,Khu công nghiệp,Khu công nghiệp,Khu công nghiệp,,
Doanh thu kinh doanh nhà và hạ tầng,Khu công nghiệp > Doanh thu kinh doanh nhà và hạ tầng,Doanh thu kinh doanh nhà và hạ tầng,108.528.513.681,168.322.837.087,108528513681.0,168322837087.0
Doanh thu khác,Khu công nghiệp > Doanh thu khác,Doanh thu khác,95.343.459.536,500.720.170.603,95343459536.0,500720170603.0
Các khoản giảm trừ doanh thu,Khu công nghiệp > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(1.128.096.195),(5.185.428.006),-1128096195.0,-5185428006.0
Cộng,Khu công nghiệp > Cộng,Cộng,3.734.927.063.555,3.499.072.679.567,3734927063555.0,3499072679567.0
Doanh thu cho thuê tài sản ghi nhận theo tổng số tiền nhận trước trong năm (*),Khu công nghiệp > Doanh thu cho thuê tài sản ghi nhận theo tổng số tiền nhận trước trong năm (*),Doanh thu cho thuê tài sản ghi nhận theo tổng số tiền nhận trước trong năm (*),52.491.276.927,144.667.424.462,52491276927.0,144667424462.0
Tổng cộng,Khu công nghiệp > Tổng cộng,Tổng cộng,3.787.418.340.482,3.643.740.104.029,3787418340482.0,3643740104029.0
