row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất VND,Phần mềm máy tính VND,Khác VND,Cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Khác VND,numeric__Cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Tại ngày 01/01/2017,Nguyên giá: > Tại ngày 01/01/2017,Tại ngày 01/01/2017,471.111.784.167,10.134.552.541,14.729.162.736,495.975.499.444,471111784167.0,10134552541.0,14729162736.0,495975499444.0
Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,-,-,-,-,,,,
Mua trong năm,Đầu tư XDCB hoàn thành > Mua trong năm,Mua trong năm,2.121.595.384,1.010.743.000,314.965.700,3.447.304.084,2121595384.0,1010743000.0,314965700.0,3447304084.0
Giảm do thoái vốn Công ty con,Đầu tư XDCB hoàn thành > Giảm do thoái vốn Công ty con,Giảm do thoái vốn Công ty con,-,-,(3.082.249.709),(3.082.249.709),,,-3082249709.0,-3082249709.0
Tại ngày 31/12/2017,Đầu tư XDCB hoàn thành > Tại ngày 31/12/2017,Tại ngày 31/12/2017,473.233.379.551,11.145.295.541,11.961.878.727,496.340.553.819,473233379551.0,11145295541.0,11961878727.0,496340553819.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Tại ngày 01/01/2017,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2017,Tại ngày 01/01/2017,76.624.679.691,7.156.117.433,3.733.605.414,87.514.402.538,76624679691.0,7156117433.0,3733605414.0,87514402538.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,9.449.072.044,994.948.862,341.346.930,10.785.367.836,9449072044.0,994948862.0,341346930.0,10785367836.0
Giảm do thoái vốn Công ty con,Giá trị hao mòn lũy kế: > Giảm do thoái vốn Công ty con,Giảm do thoái vốn Công ty con,-,-,(567.782.838),(567.782.838),,,-567782838.0,-567782838.0
Tại ngày 31/12/2017,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2017,Tại ngày 31/12/2017,86.073.751.735,8.151.066.295,3.507.169.506,97.731.987.536,86073751735.0,8151066295.0,3507169506.0,97731987536.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Tại ngày 01/01/2017,Giá trị còn lại: > Tại ngày 01/01/2017,Tại ngày 01/01/2017,394.487.104.476,2.978.435.108,10.995.557.322,408.461.096.906,394487104476.0,2978435108.0,10995557322.0,408461096906.0
Tại ngày 31/12/2017,Giá trị còn lại: > Tại ngày 31/12/2017,Tại ngày 31/12/2017,387.159.627.816,2.994.229.246,8.454.709.221,398.608.566.283,387159627816.0,2994229246.0,8454709221.0,398608566283.0
