row_label_raw,row_label_full,col_0,Tại ngày01/01/2017VND(Được báo cáo lại),Tại ngày01/01/2017VND(Đã được báo cáo trước đây),numeric__Tại ngày01/01/2017VND(Được báo cáo lại),numeric__Tại ngày01/01/2017VND(Đã được báo cáo trước đây)
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,97.566.017.845,96.004.909.092,97566017845.0,96004909092.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,979.884.051.358,1.000.282.316.467,979884051358.0,1000282316467.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,45.416.838.809,45.298.716.473,45416838809.0,45298716473.0
TSCĐ hữu hình,TSCĐ hữu hình,TSCĐ hữu hình,3.554.694.702.699,3.877.872.636.891,3554694702699.0,3877872636891.0
+ Nguyên giá,+ Nguyên giá,+ Nguyên giá,5.945.187.465.523,6.288.068.871.314,5945187465523.0,6288068871314.0
+ Giá trị hao mòn lũy kế,+ Giá trị hao mòn lũy kế,+ Giá trị hao mòn lũy kế,(2.390.492.762.824),(2.410.196.234.423),-2390492762824.0,-2410196234423.0
TSCĐ vô hình,TSCĐ vô hình,TSCĐ vô hình,408.461.096.906,80.884.761.537,408461096906.0,80884761537.0
+ Nguyên giá,+ Nguyên giá,+ Nguyên giá,495.975.499.444,153.094.093.653,495975499444.0,153094093653.0
+ Giá trị hao mòn lũy kế,+ Giá trị hao mòn lũy kế,+ Giá trị hao mòn lũy kế,(87.514.402.538),(72.209.332.116),-87514402538.0,-72209332116.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,1.782.810.070.358,1.779.721.600.262,1782810070358.0,1779721600262.0
+ Nguyên giá,+ Nguyên giá,+ Nguyên giá,2.691.428.722.466,2.689.076.418.153,2691428722466.0,2689076418153.0
+ Giá trị hao mòn lũy kế,+ Giá trị hao mòn lũy kế,+ Giá trị hao mòn lũy kế,(908.618.652.108),(909.354.817.891),-908618652108.0,-909354817891.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,2.124.404.971.374,2.124.073.103.160,2124404971374.0,2124073103160.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,570.906.981.623,460.543.304.530,570906981623.0,460543304530.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,241.102.391.831,71.237.334.689,241102391831.0,71237334689.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,96.606.081.587,94.340.081.587,96606081587.0,94340081587.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,118.799.103.506,137.396.164.572,118799103506.0,137396164572.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,315.153.785.999,327.151.989.799,315153785999.0,327151989799.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",106.911.919.469,107.007.538.292,106911919469.0,107007538292.0
Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,2.902.609.037.937,2.926.452.896.842,2902609037937.0,2926452896842.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,192.374.771.509,230.036.394.809,192374771509.0,230036394809.0
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,,(13.654.958.885),,-13654958885.0
Lợi nhuận sau thuế chưa phân phối:,Lợi nhuận sau thuế chưa phân phối:,Lợi nhuận sau thuế chưa phân phối:,576.999.501.003,564.103.974.144,576999501003.0,564103974144.0
+ LNST chưa phân phối kỳ trước,+ LNST chưa phân phối kỳ trước,+ LNST chưa phân phối kỳ trước,156.407.759.268,160.118.147.392,156407759268.0,160118147392.0
+ LNST chưa phân phối kỳ này,+ LNST chưa phân phối kỳ này,+ LNST chưa phân phối kỳ này,420.591.741.735,403.985.826.752,420591741735.0,403985826752.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,1.898.171.022.305,1.893.136.626.295,1898171022305.0,1893136626295.0
Nguồn kinh phí,Nguồn kinh phí,Nguồn kinh phí,1.226.469.439,13.282.659.882,1226469439.0,13282659882.0
