row_label_raw,row_label_full,Các thông tin khác,Các thông tin khác_1,Các thông tin khác_2,Các thông tin khác_3,Các thông tin khác_4,Các thông tin khác_5,Các thông tin khác_6,Các thông tin khác_7,Các thông tin khác_8,Các thông tin khác_9,Các thông tin khác_10,numeric__Các thông tin khác_1,numeric__Các thông tin khác_2,numeric__Các thông tin khác_3,numeric__Các thông tin khác_4,numeric__Các thông tin khác_5,numeric__Các thông tin khác_6,numeric__Các thông tin khác_7,numeric__Các thông tin khác_8,numeric__Các thông tin khác_9,numeric__Các thông tin khác_10
,,,Bán hàng,Bán hàng,Cung cấp dịch vụ,Cung cấp dịch vụ,Cho thuê khu côngnghiệp,Cho thuê khu côngnghiệp,Hoạt động khác,Hoạt động khác,Đơn vị tính: Triệu đồngTổng công,Đơn vị tính: Triệu đồngTổng công,,,,,,,,,,
,,,Tại ngày31/12/2017,Tại ngày01/01/2017,Tại ngày31/12/2017,Tại ngày01/01/2017,Tại ngày31/12/2017,Tại ngày01/01/2017,Tại ngày31/12/2017,Tại ngày01/01/2017,Tại ngày31/12/2017,Tại ngày01/01/2017,,,,,,,,,,
Tải sản của bộphân,Tải sản của bộphân,Tải sản của bộphân,-,-,-,-,1.952.408,1.780.457,-,-,1.952.408,1.780.457,,,,,1952408.0,1780457.0,,,1952408.0,1780457.0
Tải sản khôngphân bổ,Tải sản khôngphân bổ,Tải sản khôngphân bổ,-,-,-,-,-,-,-,-,13.888.612,12.755.186,,,,,,,,,13888612.0,12755186.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,,,,,15.841.020,14.535.643,,,,,,,,,15841020.0,14535643.0
,,,Bán hàng,Bán hàng,Cung cấp dịch vụ,Cung cấp dịch vụ,Cho thuê khu côngnghiệp,Cho thuê khu côngnghiệp,Hoạt động khác,Hoạt động khác,Đơn vị tính: Triệu đồngTổng công,Đơn vị tính: Triệu đồngTổng công,,,,,,,,,,
,,,Tại ngày31/12/2017,Tại ngày01/01/2017,Tại ngày31/12/2017,Tại ngày01/01/2017,Tại ngày31/12/2017,Tại ngày01/01/2017,Tại ngày31/12/2017,Tại ngày01/01/2017,Tại ngày31/12/2017,Tại ngày01/01/2017,,,,,,,,,,
Nợ phải trả khôngphân bổ,Nợ phải trả khôngphân bổ,Nợ phải trả khôngphân bổ,-,-,-,-,-,-,-,-,9.118.317,8.250.120,,,,,,,,,9118317.0,8250120.0
,,,Bán hàng,Bán hàng,Cung cấp dịch vụ,Cung cấp dịch vụ,Cho thuê khu côngnghiệp,Cho thuê khu côngnghiệp,Hoạt động khác,Hoạt động khác,Đơn vị tính: Triệu đồngTổng công,Đơn vị tính: Triệu đồngTổng công,,,,,,,,,,
,,,Năm nay,Năm trước,Năm nay,Năm trước,Năm nay,Năm trước,Năm nay,Năm trước,Năm nay,Năm trước,,,,,,,,,,
Chi phí mua sảmtài sản,Chi phí mua sảmtài sản,Chi phí mua sảmtài sản,-,-,-,-,-,-,-,-,1.107.567,1.341.008,,,,,,,,,1107567.0,1341008.0
Chi phí khấu hao,Chi phí khấu hao,Chi phí khấu hao,-,-,-,-,-,-,-,-,442.943,391.322,,,,,,,,,442943.0,391322.0
