row_label_raw,row_label_full,Khoản mục,"Chi phí đến bù,giải tốVND",Cơ sở hạ tầngVND,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND","Phương tiện vậntài, truyền dẫnVND",BDS đầu tưkhắcVND,CộngVND,"numeric__Chi phí đến bù,giải tốVND",numeric__Cơ sở hạ tầngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND","numeric__Phương tiện vậntài, truyền dẫnVND",numeric__BDS đầu tưkhắcVND,numeric__CộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,,,,,,,,,
Tại ngày 01/01/2017,Nguyên giá: > Tại ngày 01/01/2017,Tại ngày 01/01/2017,842.040.033.897,698.600.878.938,1.115.604.781.331,3.478.149.217,28.109.554.481,3.595.324.602,2.691.428.722.466,842040033897.0,698600878938.0,1115604781331.0,3478149217.0,28109554481.0,3595324602.0,2691428722466.0
Đầu tư XDCB hoàn thành,Nguyên giá: > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,-,49.965.790.999,122.111.602.784,-,-,-,172.077.393.783,,49965790999.0,122111602784.0,,,,172077393783.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,23.240.078.808,-,-,642.845.306,-,23.882.924.114,,23240078808.0,,,642845306.0,,23882924114.0
Tăng do đánh giá lại tài sản,Nguyên giá: > Tăng do đánh giá lại tài sản,Tăng do đánh giá lại tài sản,-,5.099.032.508,5.147.084.316,-,-,-,10.246.116.824,,5099032508.0,5147084316.0,,,,10246116824.0
Tăng khác,Nguyên giá: > Tăng khác,Tăng khác,975.000.000,-,9.432.125.009,-,-,-,10.407.125.009,975000000.0,,9432125009.0,,,,10407125009.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(59.175.149),-,-,-,(59.175.149),,,-59175149.0,,,,-59175149.0
Giảm do thoái vốn công ty con,Nguyên giá: > Giảm do thoái vốn công ty con,Giảm do thoái vốn công ty con,-,-,(8.162.364.502),-,-,-,(8.162.364.502),,,-8162364502.0,,,,-8162364502.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,-,-,(126.309.169),-,-,-,(126.309.169),,,-126309169.0,,,,-126309169.0
Tại ngày 31/12/2017,Nguyên giá: > Tại ngày 31/12/2017,Tại ngày 31/12/2017,843.015.033.897,776.905.781.253,1.243.947.744.620,3.478.149.217,28.752.399.787,3.595.324.602,2.899.694.433.376,843015033897.0,776905781253.0,1243947744620.0,3478149217.0,28752399787.0,3595324602.0,2899694433376.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,,,,,,,,,
Tại ngày 01/01/2017,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2017,Tại ngày 01/01/2017,279.798.192.765,294.410.737.518,304.260.067.190,2.704.463.636,24.058.188.389,3.387.002.610,908.618.652.108,279798192765.0,294410737518.0,304260067190.0,2704463636.0,24058188389.0,3387002610.0,908618652108.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,13.467.238.017,40.022.953.806,60.655.730.695,468.765.029,1.620.356.004,54.995.448,116.290.038.999,13467238017.0,40022953806.0,60655730695.0,468765029.0,1620356004.0,54995448.0,116290038999.0
Tăng khác,Giá trị hao mòn lũy kế: > Tăng khác,Tăng khác,975.000.000,-,772.895.720,-,-,-,1.747.895.720,975000000.0,,772895720.0,,,,1747895720.0
Giảm do thoái vốn công ty con,Giá trị hao mòn lũy kế: > Giảm do thoái vốn công ty con,Giảm do thoái vốn công ty con,-,-,(347.636.396),-,-,-,(347.636.396),,,-347636396.0,,,,-347636396.0
Giảm do đánh giá lại tài sản,Giá trị hao mòn lũy kế: > Giảm do đánh giá lại tài sản,Giảm do đánh giá lại tài sản,-,(9.649.508.731),(14.314.011.187),-,-,-,(23.963.519.918),,-9649508731.0,-14314011187.0,,,,-23963519918.0
Giảm khác,Giá trị hao mòn lũy kế: > Giảm khác,Giảm khác,-,-,(753.121.710),-,-,-,(753.121.710),,,-753121710.0,,,,-753121710.0
Tại ngày 31/12/2017,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2017,Tại ngày 31/12/2017,294.240.430.782,324.784.182.593,350.273.924.312,3.173.228.665,25.678.544.393,3.441.998.058,1.001.592.308.803,294240430782.0,324784182593.0,350273924312.0,3173228665.0,25678544393.0,3441998058.0,1001592308803.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,,,,,,,,,
Tại ngày 01/01/2017,Giá trị còn lại: > Tại ngày 01/01/2017,Tại ngày 01/01/2017,562.241.841.132,404.190.141.420,811.344.714.141,773.685.581,4.051.366.092,208.321.992,1.782.810.070.358,562241841132.0,404190141420.0,811344714141.0,773685581.0,4051366092.0,208321992.0,1782810070358.0
Tại ngày 31/12/2017,Giá trị còn lại: > Tại ngày 31/12/2017,Tại ngày 31/12/2017,548.774.603.115,452.121.598.660,893.673.820.308,304.920.552,3.073.855.394,153.326.544,1.898.102.124.573,548774603115.0,452121598660.0,893673820308.0,304920552.0,3073855394.0,153326544.0,1898102124573.0
