row_label_raw,row_label_full,col_0,Từ 01/01/2017đến 31/12/2017VND,Từ 01/02/2016đến 31/12/2016VND,numeric__Từ 01/01/2017đến 31/12/2017VND,numeric__Từ 01/02/2016đến 31/12/2016VND
Giá vốn:,Giá vốn:,Giá vốn:,Giá vốn:,Giá vốn:,,
Giá vốn của hàng hóa đã bán,Giá vốn: > Giá vốn của hàng hóa đã bán,Giá vốn của hàng hóa đã bán,866.902.022.814,636.433.212.175,866902022814.0,636433212175.0
Giá vốn của dịch vụ đã cung cấp,Giá vốn: > Giá vốn của dịch vụ đã cung cấp,Giá vốn của dịch vụ đã cung cấp,979.104.922.738,863.548.028.200,979104922738.0,863548028200.0
Giá vốn xây lắp,Giá vốn: > Giá vốn xây lắp,Giá vốn xây lắp,173.397.382.286,418.079.537.213,173397382286.0,418079537213.0
Chi phí kinh doanh bất động sản,Giá vốn: > Chi phí kinh doanh bất động sản,Chi phí kinh doanh bất động sản,137.132.229.995,87.661.132.098,137132229995.0,87661132098.0
Giá vốn cho thuê đất và cơ sở hạ tầng,Giá vốn: > Giá vốn cho thuê đất và cơ sở hạ tầng,Giá vốn cho thuê đất và cơ sở hạ tầng,314.737.727.070,207.177.527.973,314737727070.0,207177527973.0
Khu công nghiệp,Khu công nghiệp,Khu công nghiệp,Khu công nghiệp,Khu công nghiệp,,
Giá vốn kinh doanh nhà và hạ tầng,Khu công nghiệp > Giá vốn kinh doanh nhà và hạ tầng,Giá vốn kinh doanh nhà và hạ tầng,86.211.650.043,124.075.116.163,86211650043.0,124075116163.0
Giá vốn khác,Khu công nghiệp > Giá vốn khác,Giá vốn khác,70.764.050.211,170.074.284.631,70764050211.0,170074284631.0
Cộng,Khu công nghiệp > Cộng,Cộng,2.628.249.985.157,2.507.048.838.453,2628249985157.0,2507048838453.0
