row_label_raw,row_label_full,Số dư đầu năm,Từ 01/01/2017đến 31/12/2017VND > 106.911.919.469,Từ 01/02/2016đến 31/12/2016VND > 85.673.078.131,numeric__Từ 01/01/2017đến 31/12/2017VND > 106.911.919.469,numeric__Từ 01/02/2016đến 31/12/2016VND > 85.673.078.131
Trích quỹ,Trích quỹ,Trích quỹ,79.730.589.310,80.690.007.932,79730589310.0,80690007932.0
Giảm khác,Giảm khác,Giảm khác,-,(88.271.718),,-88271718.0
Sử dụng quỹ,Sử dụng quỹ,Sử dụng quỹ,(63.712.696.776),(59.362.894.876),-63712696776.0,-59362894876.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,122.929.812.003,106.911.919.469,122929812003.0,106911919469.0
