row_label_raw,row_label_full,col_0,Vốn Điều lệ,Thặng dư vốn cổ phần,LNST chưa phân phối,Cộng,numeric__Vốn Điều lệ,numeric__Thặng dư vốn cổ phần,numeric__LNST chưa phân phối,numeric__Cộng
,,,VND,,VND,VND,,,,
Tại ngày 01/01/2021,Tại ngày 01/01/2021,Tại ngày 01/01/2021,1.600.000.000.000,-,158.120.223.631,1.758.120.223.631,1600000000000.0,,158120223631.0,1758120223631.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,1.588.175.470.000,937.623.735.000,-,2.525.799.205.000,1588175470000.0,937623735000.0,,2525799205000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,413.495.678.387,413.495.678.387,,,413495678387.0,413495678387.0
Tại ngày 01/01/2022,Tại ngày 01/01/2022,Tại ngày 01/01/2022,3.188.175.470.000,937.623.735.000,571.615.902.018,4.697.415.107.018,3188175470000.0,937623735000.0,571615902018.0,4697415107018.0
Tăng vốn trong năm (*),Tăng vốn trong năm (*),Tăng vốn trong năm (*),924.569.280.000,(924.569.280.000),-,-,924569280000.0,-924569280000.0,,
Trả cổ tức bằng cổ phiếu (*),Trả cổ tức bằng cổ phiếu (*),Trả cổ tức bằng cổ phiếu (*),318.817.300.000,-,(318.817.300.000),-,318817300000.0,,-318817300000.0,
Phát hành ESOP,Phát hành ESOP,Phát hành ESOP,62.790.000.000,,(62.790.000.000),-,62790000000.0,,-62790000000.0,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,442.418.512.643,442 418.512.643,,,442418512643.0,
Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,4.494.352.050.000,13.054.455.000,632.427.114.661,5.139.833.619.661,4494352050000.0,13054455000.0,632427114661.0,5139833619661.0
