row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,31/12/2022,01/01/2022,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2022,numeric__01/01/2022
A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,100,,2.179.109.515.702,2.180.632.208.053,,100.0,,2179109515702.0,2180632208053.0
I.,I.,I.,Tiền và các khoản tương đương,110,5,195.703.145.967,563.806.054.574,,110.0,5.0,195703145967.0,563806054574.0
1.,1.,1.,Tiền,111,,95.703.145.967,563.806.054.574,,111.0,,95703145967.0,563806054574.0
2.,2.,2.,Các khoản tương đương tiền,112,,100.000.000.000,-,,112.0,,100000000000.0,
II.,II.,II.,Các khoản phải thu ngắn hạn,130,,1.513.913.211.715,1.217.779.883.792,,130.0,,1513913211715.0,1217779883792.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,510.928.597.546,541.820.940.816,,131.0,6.0,510928597546.0,541820940816.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,270.638.089.033,334.799.885.504,,132.0,7.0,270638089033.0,334799885504.0
3.,3.,3.,Phải thu ngắn hạn khác,136,11,732.346.525.136,341.159.057.472,,136.0,11.0,732346525136.0,341159057472.0
III.,III.,III.,Hàng tồn kho,140,,461.459.031.677,394.782.593.511,,140.0,,461459031677.0,394782593511.0
1.,1.,1.,Hàng tồn kho,141,8,461.459.031.677,394.782.593.511,,141.0,8.0,461459031677.0,394782593511.0
IV.,IV.,IV.,Tài sản ngắn hạn khác,150,,8.034.126.343,4.263.676.176,,150.0,,8034126343.0,4263676176.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,9,8.034.126.343,4.263.676.176,,151.0,9.0,8034126343.0,4263676176.0
B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,200,,4.865.232.072.185,4.237.644.912.694,,200.0,,4865232072185.0,4237644912694.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,4.648.940.492.003,4.024.170.382.211,,210.0,,4648940492003.0,4024170382211.0
1.,1.,1.,Phải thu về cho vay dài hạn,215,10,490.000.000.000,490.000.000.000,,215.0,10.0,490000000000.0,490000000000.0
2.,2.,2.,Phải thu dài hạn khác,216,11,4.158.940.492.003,3.534.170.382.211,,216.0,11.0,4158940492003.0,3534170382211.0
II.,II.,II.,Tài sản cố định,220,,818.155.625,198.615.707,,220.0,,818155625.0,198615707.0
1.,1.,1.,Tài sản cố định hữu hình,221,12,818.155.625,190.560.704,,221.0,12.0,818155625.0,190560704.0
,,,- Nguyên giá,222,,4.098.015.063,3.221.588.236,,222.0,,4098015063.0,3221588236.0
,,,- Giá trị hao mòn luỹ kế,223,,(3.279.859.438),(3.031.027.532),,223.0,,-3279859438.0,-3031027532.0
2.,2.,2.,Tài sản cố định vô hình,227,13,-,8.055.003,,227.0,13.0,,8055003.0
,,,- Nguyên giá,228,,301.765.500,311.098.833,,228.0,,301765500.0,311098833.0
,,,- Giá trị hao mòn luỹ kế,229,,(301.765.500),(303.043.830),,229.0,,-301765500.0,-303043830.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,821.780.144,618.141.224,,240.0,,821780144.0,618141224.0
1.,1.,1.,"Chi phí sản xuất, kinh doanh dở dang",241,,821.780.144,618.141.224,,241.0,,821780144.0,618141224.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,14,212.000.000.000,212.000.000.000,,250.0,14.0,212000000000.0,212000000000.0
1.,1.,1.,Đầu tư vào công ty con,251,,212.000.000.000,212.000.000.000,,251.0,,212000000000.0,212000000000.0
V.,V.,V.,Tài sản dài hạn khác,260,,2.651.644.413,657.773.552,,260.0,,2651644413.0,657773552.0
1.,1.,1.,Chi phí trả trước dài hạn,261,9,2.651.644.413,657.773.552,,261.0,9.0,2651644413.0,657773552.0
,,,TỔNG CỘNG TÀI SẢN,270,,7.044.341.587.887,6.418.277.120.747,,270.0,,7044341587887.0,6418277120747.0
