row_label_raw,row_label_full,col_0,Thiết bịvăn phòng,Tổng,numeric__Thiết bịvăn phòng,numeric__Tổng
,,,VND,VND,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Tại ngày 01/01/2022,NGUYÊN GIÁ > Tại ngày 01/01/2022,Tại ngày 01/01/2022,3.221.588.236,3.221.588.236,3221588236.0,3221588236.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,913.446.227,913.446.227,913446227.0,913446227.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,(37.019.400),(37.019.400),-37019400.0,-37019400.0
Tại ngày 31/12/2022,NGUYÊN GIÁ > Tại ngày 31/12/2022,Tại ngày 31/12/2022,4.098.015.063,4.098.015.063,4098015063.0,4098015063.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,
Tại ngày 01/01/2022,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2022,Tại ngày 01/01/2022,3.031.027.532,3.031.027.532,3031027532.0,3031027532.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,285.851.306,285.851.306,285851306.0,285851306.0
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,(37.019.400),(37.019.400),-37019400.0,-37019400.0
Tại ngày 31/12/2022,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2022,Tại ngày 31/12/2022,3.279.859.438,3.279.859.438,3279859438.0,3279859438.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Tại ngày 01/01/2022,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2022,Tại ngày 01/01/2022,190.560.704,190.560.704,190560704.0,190560704.0
Tại ngày 31/12/2022,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2022,Tại ngày 31/12/2022,818.155.625,818.155.625,818155625.0,818155625.0
Nguyên giá TSCĐ hết khấu hao còn sử dụng,GIÁ TRỊ CÒN LẠI > Nguyên giá TSCĐ hết khấu hao còn sử dụng,Nguyên giá TSCĐ hết khấu hao còn sử dụng,2.985.914.820,2.985.914.820,2985914820.0,2985914820.0
