row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Năm 2022,Năm 2021,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Năm 2022,numeric__Năm 2021
I.,I.,I.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,554.251.223.796,517.273.016.553,,1.0,554251223796.0,517273016553.0
2.,2.,2.,Điều chỉnh cho các khoản,,,,,,,
,,,- Khấu hao TSCĐ và BĐSĐT,02,293.906.306,126.941.042,,2.0,293906306.0,126941042.0
,,,"- Lãi, lỗ từ hoạt động đầu tư",05,(384.659.915.364),(79.773.856.187),,5.0,-384659915364.0,-79773856187.0
,,,- Chi phí lãi vay,06,138.145.484.462,58.860.076.008,,6.0,138145484462.0,58860076008.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,308.030.699.200,496.486.177.416,,8.0,308030699200.0,496486177416.0
,,,"- Tăng, giảm các khoản phải thu",09,(842.263.437.715),(3.243.200.350.420),,9.0,-842263437715.0,-3243200350420.0
,,,"- Tăng, giảm hàng tồn kho",10,(66.676.438.166),(394.782.593.511),,10.0,-66676438166.0,-394782593511.0
,,,"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,(197.325.756.698),723.107.295.772,,11.0,-197325756698.0,723107295772.0
,,,"- Tăng, giảm chi phí trả trước",12,(1.050.463.882),1.188.364.744,,12.0,-1050463882.0,1188364744.0
,,,- Tiền lãi vay đã trả,14,(116.267.439.689),(48.772.807.859),,14.0,-116267439689.0,-48772807859.0
,,,- Thuế thu nhập doanh nghiệp đã nộp,15,(104.777.662.606),(23.497.022.618),,15.0,-104777662606.0,-23497022618.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,(1.020.330.499.556),(2.489.470.936.476),,20.0,-1020330499556.0,-2489470936476.0
II.,II.,II.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
1.,II. > 1.,1.,"Tiền chi để mua sắm, xây dựng TSCĐ và các TSDH khác",21,(1.117.085.147),(325.556.749),,21.0,-1117085147.0,-325556749.0
2.,II. > 2.,2.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,306.019.915.364,72.673.856.187,,27.0,306019915364.0,72673856187.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,304.902.830.217,72.348.299.438,,30.0,304902830217.0,72348299438.0
III.,III.,III.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. > 1.,1.,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,-,2.525.799.205.000,,31.0,,2525799205000.0
2.,III. > 2.,2.,Tiền thu từ đi vay,33,699.396.868.062,493.240.000.000,,33.0,699396868062.0,493240000000.0
3.,III. > 3.,3.,Tiền trả nợ gốc vay,34,(352.072.107.330),(200.000.000.000),,34.0,-352072107330.0,-200000000000.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,347.324.760.732,2.819.039.205.000,,40.0,347324760732.0,2819039205000.0
,,,Lưu chuyển tiền thuần trong năm,50,(368.102.908.607),401.916.587.962,,50.0,-368102908607.0,401916587962.0
,,,Tiền và tương đương tiền đầu năm,60,563.806.054.574,161.889.486.612,,60.0,563806054574.0,161889486612.0
,,,Tiền và tương đương tiền cuối năm,70,195.703.145.967,563.806.054.574,,70.0,195703145967.0,563806054574.0
