row_label_raw,row_label_full,col_0,Lĩnh vực bán vế cầu dưỡng,Lĩnh vực kinh doanh bắt động sản,Lĩnh vực kinh doanh bắt động sản đầu tư,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các lĩnh vực khác,Cộng,numeric__Lĩnh vực bán vế cầu dưỡng,numeric__Lĩnh vực kinh doanh bắt động sản,numeric__Lĩnh vực kinh doanh bắt động sản đầu tư,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các lĩnh vực khác,numeric__Cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm trước > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,285.891.848.261,882.791.252.511,22.022.364.541,83.242.205.106,18.072.588.542,307.795.464.221,1.599.815.723.182,285891848261.0,882791252511.0,22022364541.0,83242205106.0,18072588542.0,307795464221.0,1599815723182.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,-,-,-,-,-,-,-,,,,,,,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,285.891.848.261,882.791.252.511,22.022.364.541,83.242.205.106,18.072.588.542,307.795.464.221,1.599.815.723.182,285891848261.0,882791252511.0,22022364541.0,83242205106.0,18072588542.0,307795464221.0,1599815723182.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,212.744.797.283,138.253.000.479,8.032.243.585,(1.722.255.304),(7.532.419.168),80.811.841.881,430.587.208.756,212744797283.0,138253000479.0,8032243585.0,-1722255304.0,-7532419168.0,80811841881.0,430587208756.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,,-,,,,,,,
Lợi nhuận từ hoạt động kinh doanh,Các chi phí không phân bổ theo bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,430.587.208.756,,,,,,,430587208756.0
Doanh thu hoạt động tài chính,Các chi phí không phân bổ theo bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,10.310.514.524,,,,,,,10310514524.0
Chi phí tài chính,Các chi phí không phân bổ theo bộ phận > Chi phí tài chính,Chi phí tài chính,,,,,,,(76.735.648.546),,,,,,,-76735648546.0
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",,,,,,,-,,,,,,,
Thu nhập khác,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết > Thu nhập khác",Thu nhập khác,,,,,,,18.678.111.882,,,,,,,18678111882.0
Chi phí khác,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết > Chi phí khác",Chi phí khác,,,,,,,(13.835.143.373),,,,,,,-13835143373.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết > Chi phí thuế thu nhập doanh nghiệp hiện hành",Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,,(65.322.708.992),,,,,,,-65322708992.0
Chi phí thuế thu nhập doanh nghiệp hoàn lại,Chi phí thuế thu nhập doanh nghiệp hoàn lại,Chi phí thuế thu nhập doanh nghiệp hoàn lại,,,,,,,-,,,,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp hoàn lại > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,303.682.334.251,,,,,,,303682334251.0
Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,Chi phí thuế thu nhập doanh nghiệp hoàn lại > Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,18.985.936.317,-,-,-,-,1.099.066.347,20.085.002.664,18985936317.0,,,,,1099066347.0,20085002664.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Chi phí thuế thu nhập doanh nghiệp hoàn lại > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,18.988.739.182,505.319.698,3.618.699.900,-,-,1.946.942.058,25.059.700.838,18988739182.0,505319698.0,3618699900.0,,,1946942058.0,25059700838.0
