row_label_raw,row_label_full,col_0,Số đầu năm,Số tiền vay phát sinh trong năm,Kết chuyển sangvay và nợngắn hạn,Số cuối năm,numeric__Số đầu năm,numeric__Số tiền vay phát sinh trong năm,numeric__Kết chuyển sangvay và nợngắn hạn,numeric__Số cuối năm
Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,15.000.000.000,420.000.000.000,(75.560.000.000),359.440.000.000,15000000000.0,420000000000.0,-75560000000.0,359440000000.0
Trái phiếu thường,Trái phiếu thường,Trái phiếu thường,-,75.000.000.000,(11.250.000.000),63.750.000.000,,75000000000.0,-11250000000.0,63750000000.0
Cộng,Cộng,Cộng,15.000.000.000,495.000.000.000,(86.810.000.000),423.190.000.000,15000000000.0,495000000000.0,-86810000000.0,423190000000.0
