row_label_raw,row_label_full,col_0,Mã số,Số liệu trước điều chỉnh,Các điều chỉnh,Số liệu sau điều chỉnh,numeric__Mã số,numeric__Số liệu trước điều chỉnh,numeric__Các điều chỉnh,numeric__Số liệu sau điều chỉnh
Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,,,,
Phải thu ngắn hạn khác,Bảng cân đối kế toán hợp nhất > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,26.797.569.053,3.585.433.378,30.383.002.431,136.0,26797569053.0,3585433378.0,30383002431.0
Hàng tồn kho,Bảng cân đối kế toán hợp nhất > Hàng tồn kho,Hàng tồn kho,141,4.780.154.907.591,17.759.266.595,4.797.914.174.186,141.0,4780154907591.0,17759266595.0,4797914174186.0
Tải sản cố định hữu hình,Bảng cân đối kế toán hợp nhất > Tải sản cố định hữu hình,Tải sản cố định hữu hình,221,519.084.181.142,7.821.086.358,526.905.267.500,221.0,519084181142.0,7821086358.0,526905267500.0
- Nguyên giá,Bảng cân đối kế toán hợp nhất > - Nguyên giá,- Nguyên giá,222,936.607.627.172,9.088.539.573,945.696.166.745,222.0,936607627172.0,9088539573.0,945696166745.0
- Giá trị hao mòn lũy kế,Bảng cân đối kế toán hợp nhất > - Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,(417.523.446.030),(1.267.453.215),(418.790.899.245),223.0,-417523446030.0,-1267453215.0,-418790899245.0
Chi phí trả trước dài hạn,Bảng cân đối kế toán hợp nhất > Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,11.922.489.554,(2.229.576.096),9.692.913.458,261.0,11922489554.0,-2229576096.0,9692913458.0
Thuế và các khoản phải nộp Nhà nước,Bảng cân đối kế toán hợp nhất > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,110.439.715.484,5.387.242.047,115.826.957.531,313.0,110439715484.0,5387242047.0,115826957531.0
Lợi nhuận sau thuế chưa phân phối,Bảng cân đối kế toán hợp nhất > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,326.359.904.373,21.548.968.188,347.908.872.561,421.0,326359904373.0,21548968188.0,347908872561.0
Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,,,,
Giá vốn hàng bán,Báo cáo kết quả hoạt động kinh doanh hợp nhất > Giá vốn hàng bán,Giá vốn hàng bán,11,1.062.188.504.642,2.017.795.005,1.064.206.299.647,11.0,1062188504642.0,2017795005.0,1064206299647.0
Chi phí tài chính,Báo cáo kết quả hoạt động kinh doanh hợp nhất > Chi phí tài chính,Chi phí tài chính,22,98.788.257.449,(22.052.608.903),76.735.648.546,22.0,98788257449.0,-22052608903.0,76735648546.0
- Trong đó: chi phí lãi vay,Báo cáo kết quả hoạt động kinh doanh hợp nhất > - Trong đó: chi phí lãi vay,- Trong đó: chi phí lãi vay,23,56.196.620.478,(22.052.608.903),34.144.011.575,23.0,56196620478.0,-22052608903.0,34144011575.0
Chi phí bán hàng,Báo cáo kết quả hoạt động kinh doanh hợp nhất > Chi phí bán hàng,Chi phí bán hàng,25,47.200.799.665,(421.668.000),46.779.131.665,25.0,47200799665.0,-421668000.0,46779131665.0
Thu nhập khác,Báo cáo kết quả hoạt động kinh doanh hợp nhất > Thu nhập khác,Thu nhập khác,31,15.092.678.504,3.585.433.378,18.678.111.882,31.0,15092678504.0,3585433378.0,18678111882.0
Tổng lợi nhuận kế toán trước thuế,Báo cáo kết quả hoạt động kinh doanh hợp nhất > Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,344.963.127.967,24.041.915.276,369.005.043.243,50.0,344963127967.0,24041915276.0,369005043243.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Báo cáo kết quả hoạt động kinh doanh hợp nhất > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,60.521.353.737,4.801.355.255,65.322.708.992,51.0,60521353737.0,4801355255.0,65322708992.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Báo cáo kết quả hoạt động kinh doanh hợp nhất > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,284.441.774.230,19.240.560.021,303.682.334.251,60.0,284441774230.0,19240560021.0,303682334251.0
Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,,,,
Lợi nhuận trước thuế,Báo cáo lưu chuyển tiền tệ hợp nhất > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,344.963.127.967,24.041.915.276,369.005.043.243,1.0,344963127967.0,24041915276.0,369005043243.0
Khấu hao tài sản cố định và bất động sản đầu tư,Báo cáo lưu chuyển tiền tệ hợp nhất > Khấu hao tài sản cố định và bất động sản đầu tư,Khấu hao tài sản cố định và bất động sản đầu tư,02,38.330.216.711,1.232.314.215,39.562.530.926,2.0,38330216711.0,1232314215.0,39562530926.0
Chi phí lãi vay,Báo cáo lưu chuyển tiền tệ hợp nhất > Chi phí lãi vay,Chi phí lãi vay,06,56.196.620.478,(22.052.608.903),34.144.011.575,6.0,56196620478.0,-22052608903.0,34144011575.0
"Tăng, giảm các khoản phải thu","Báo cáo lưu chuyển tiền tệ hợp nhất > Tăng, giảm các khoản phải thu","Tăng, giảm các khoản phải thu",09,88.563.980.059,(3.585.433.378),84.978.546.681,9.0,88563980059.0,-3585433378.0,84978546681.0
