row_label_raw,row_label_full,col_0,Chi phí nghiên cứuvà triển khai,Phần mềmmáy tính,Cộng,numeric__Chi phí nghiên cứuvà triển khai,numeric__Phần mềmmáy tính,numeric__Cộng
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,226.875.000,5.279.599.019,5.506.474.019,226875000.0,5279599019.0,5506474019.0
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,41.250.000,770.242.617,811.492.617,41250000.0,770242617.0,811492617.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,268.125.000,6.049.841.636,6.317.966.636,268125000.0,6049841636.0,6317966636.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,185.625.000,5.533.621.067,5.719.246.067,185625000.0,5533621067.0,5719246067.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,144.375.000,7.918.975.723,8.063.350.723,144375000.0,7918975723.0,8063350723.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Tạm thời không sử dụng,Tạm thời không sử dụng,Tạm thời không sử dụng,-,-,-,,,
Đang chờ thanh lý,Đang chờ thanh lý,Đang chờ thanh lý,-,-,-,,,
