row_label_raw,row_label_full,Chức danh,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
Chủ tịch Hội đồng quản trị,Chủ tịch Hội đồng quản trị,Chủ tịch Hội đồng quản trị,227.000.000,180.000.000,227000000.0,180000000.0
Phó Chủ tịch Hội đồng quản trị,Phó Chủ tịch Hội đồng quản trị,Phó Chủ tịch Hội đồng quản trị,176.000.000,140.000.000,176000000.0,140000000.0
Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,610.000.000,485.000.000,610000000.0,485000000.0
Tổng Giám đốc,Tổng Giám đốc,Tổng Giám đốc,830.500.000,765.000.000,830500000.0,765000000.0
Phó Tổng Giám đốc,Phó Tổng Giám đốc,Phó Tổng Giám đốc,2.038.500.000,1.785.000.000,2038500000.0,1785000000.0
Tổng cộng,Tổng cộng,Tổng cộng,3.882.000.000,3.355.000.000,3882000000.0,3355000000.0
