row_label_raw,row_label_full,col_0,Số đầu năm,Số tiền vay phát sinh trong năm,Kết chuyển từ vay và nợ dài hạn,Số tiền vay đã trả trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số tiền vay phát sinh trong năm,numeric__Kết chuyển từ vay và nợ dài hạn,numeric__Số tiền vay đã trả trong năm,numeric__Số cuối năm
Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,409.725.402.338,715.707.654.596,-,(694.086.420.739),431.346.636.195,409725402338.0,715707654596.0,,-694086420739.0,431346636195.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,89.908.594.300,-,75.560.000.000,(89.908.594.300),75.560.000.000,89908594300.0,,75560000000.0,-89908594300.0,75560000000.0
Trái phiếu thường dài hạn đến hạn trả,Trái phiếu thường dài hạn đến hạn trả,Trái phiếu thường dài hạn đến hạn trả,-,-,11.250.000.000,-,11.250.000.000,,,11250000000.0,,11250000000.0
Cộng,Cộng,Cộng,499.633.996.638,715.707.654.596,86.810.000.000,(783.995.015.039),518.156.636.195,499633996638.0,715707654596.0,86810000000.0,-783995015039.0,518156636195.0
