row_label_raw,row_label_full,a. Tài sản tài chính,Đầu năm,Đầu năm_1,Cuối năm,Cuối năm_1,numeric__Đầu năm,numeric__Đầu năm_1,numeric__Cuối năm,numeric__Cuối năm_1
a. Tài sản tài chính,a. Tài sản tài chính,a. Tài sản tài chính,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Tiền và tương đương tiền,a. Tài sản tài chính > Tiền và tương đương tiền,Tiền và tương đương tiền,5.528.283.614.830,-,5.303.619.340.768,-,5528283614830.0,,5303619340768.0,
"Phải thu khách hàng, phải thu khác","a. Tài sản tài chính > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",3.424.938.988.900,(702.121.194.845),3.316.804.524.645,(676.280.427.676),3424938988900.0,-702121194845.0,3316804524645.0,-676280427676.0
Các khoản cho vay,a. Tài sản tài chính > Các khoản cho vay,Các khoản cho vay,899.420.262.154,-,863.450.371.390,-,899420262154.0,,863450371390.0,
Đầu tư ngắn hạn,a. Tài sản tài chính > Đầu tư ngắn hạn,Đầu tư ngắn hạn,10.764.818.918.992,(68.237.000),10.279.372.907.167,(68.237.000),10764818918992.0,-68237000.0,10279372907167.0,-68237000.0
Đầu tư dài hạn,a. Tài sản tài chính > Đầu tư dài hạn,Đầu tư dài hạn,3.189.357.646.629,(26.329.784.049),2.782.399.202.177,(22.172.522.807),3189357646629.0,-26329784049.0,2782399202177.0,-22172522807.0
Cộng,a. Tài sản tài chính > Cộng,Cộng,23.806.819.431.505,(728.519.215.894),22.545.646.346.147,(698.521.187.483),23806819431505.0,-728519215894.0,22545646346147.0,-698521187483.0
