row_label_raw,row_label_full,24.2. Chi tiết vốn góp của chủ sở hữu,31/12/2021,01/01/2021,numeric__31/12/2021,numeric__01/01/2021
Vốn đầu tư của Nhà nước,Vốn đầu tư của Nhà nước,Vốn đầu tư của Nhà nước,38.708.428.190.000,38.708.428.190.000,38708428190000.0,38708428190000.0
Các cổ đông khác,Các cổ đông khác,Các cổ đông khác,1.291.571.810.000,1.291.571.810.000,1291571810000.0,1291571810000.0
Cộng,Cộng,Cộng,40.000.000.000.000,40.000.000.000.000,40000000000000.0,40000000000000.0
24.3. Các glao dịch về vốn với các chủ sở hữu,24.3. Các glao dịch về vốn với các chủ sở hữu,24.3. Các glao dịch về vốn với các chủ sở hữu,Năm 2021,Năm 2020,,
+ Vốn góp đầu năm,24.3. Các glao dịch về vốn với các chủ sở hữu > + Vốn góp đầu năm,+ Vốn góp đầu năm,40.000.000.000.000,40.000.000.000.000,40000000000000.0,40000000000000.0
+ Vốn góp cuối năm,24.3. Các glao dịch về vốn với các chủ sở hữu > + Vốn góp cuối năm,+ Vốn góp cuối năm,40.000.000.000.000,40.000.000.000.000,40000000000000.0,40000000000000.0
24.4. Các quỹ của Tộp đoàn,24.4. Các quỹ của Tộp đoàn,24.4. Các quỹ của Tộp đoàn,31/12/2021,01/01/2021,,
Quỹ đầu tư phát triển,24.4. Các quỹ của Tộp đoàn > Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,4.133.367.632.585,3.445.109.742.483,4133367632585.0,3445109742483.0
Quỹ khác thuộc vốn chủ sở hữu,24.4. Các quỹ của Tộp đoàn > Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,1.264.574.242,6.986.344.327,1264574242.0,6986344327.0
Cộng,24.4. Các quỹ của Tộp đoàn > Cộng,Cộng,4.134.632.206.827,3.452.096.086.810,4134632206827.0,3452096086810.0
24.5. Chênh lệch đánh giá lại tài sản,24.5. Chênh lệch đánh giá lại tài sản,24.5. Chênh lệch đánh giá lại tài sản,31/12/2021,01/01/2021,,
Chênh lệch đánh giá lại tài sản do cổ phần hóa,24.5. Chênh lệch đánh giá lại tài sản > Chênh lệch đánh giá lại tài sản do cổ phần hóa,Chênh lệch đánh giá lại tài sản do cổ phần hóa,(1.577.764.667.264),(1.576.525.667.264),-1577764667264.0,-1576525667264.0
Cộng,24.5. Chênh lệch đánh giá lại tài sản > Cộng,Cộng,(1.577.764.667.264),(1.576.525.667.264),-1577764667264.0,-1576525667264.0
24.6. Chênh lệch tỷ giá hối đoái,24.6. Chênh lệch tỷ giá hối đoái,24.6. Chênh lệch tỷ giá hối đoái,31/12/2021,01/01/2021,,
Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,24.6. Chênh lệch tỷ giá hối đoái > Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,446.867.085.315,1.027.509.033.695,446867085315.0,1027509033695.0
Cộng,24.6. Chênh lệch tỷ giá hối đoái > Cộng,Cộng,446.867.085.315,1.027.509.033.695,446867085315.0,1027509033695.0
25. Nguồn kinh phí,25. Nguồn kinh phí,25. Nguồn kinh phí,31/12/2021,01/01/2021,,
- Nguồn kinh phí đầu năm,25. Nguồn kinh phí > - Nguồn kinh phí đầu năm,- Nguồn kinh phí đầu năm,(103.762.566.063),(103.318.115.747),-103762566063.0,-103318115747.0
- Nguồn kinh phí được cấp trong năm,25. Nguồn kinh phí > - Nguồn kinh phí được cấp trong năm,- Nguồn kinh phí được cấp trong năm,122.381.085.890,77.466.680.059,122381085890.0,77466680059.0
