row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh mũ cao su,Sản xuất và kinh doanh các sản phẩm từ cao su,Chế biến gỗ,"Xây dựng, bất động sản, cơ sở hạ tầng","Dịch vụ du lịch, nhà hàng, khách sạn",Kinh doanh điện năng,Hoạt động kinh doanh khác,Điều chính và loại trừ,Tổng cộng,numeric__Sản xuất và kinh doanh mũ cao su,numeric__Sản xuất và kinh doanh các sản phẩm từ cao su,numeric__Chế biến gỗ,"numeric__Xây dựng, bất động sản, cơ sở hạ tầng","numeric__Dịch vụ du lịch, nhà hàng, khách sạn",numeric__Kinh doanh điện năng,numeric__Hoạt động kinh doanh khác,numeric__Điều chính và loại trừ,numeric__Tổng cộng
Doanh thu tài chính,Doanh thu tài chính,Doanh thu tài chính,789.469.364.135,44.072.291.801,23.922.950.654,449.654.124.801,4.009.975.340,12.229.749.561,2.642.591.090.779,(3.135.135.973.958),830.813.573.11,789469364135.0,44072291801.0,23922950654.0,449654124801.0,4009975340.0,12229749561.0,2642591090779.0,-3135135973958.0,83081357311.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,555.873.351.803,10.628.940.995,101.565.351.237,15.093.174.687,408.470,107.214.733.831,15.884.877.754,(87.106.715.667),719.154.123.11,555873351803.0,10628940995.0,101565351237.0,15093174687.0,408470.0,107214733831.0,15884877754.0,-87106715667.0,71915412311.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,1.713.533.788.056,3.242.264.605,8.511.113.031,10.149.720.759,241.529.480,244.572.258,21.486.588.934,(712.442.122.277),1.044.967.454.84,1713533788056.0,3242264605.0,8511113031.0,10149720759.0,241529480.0,244572258.0,21486588934.0,-712442122277.0,104496745484.0
Chi phí khác,Chi phí khác,Chi phí khác,365.353.686.688,12.070.157.595,17.354.044.563,8.910.683.277,758.528.295,8.472.161.811,202.672.439.804,(65.454.792),615.526.247.24,365353686688.0,12070157595.0,17354044563.0,8910683277.0,758528295.0,8472161811.0,202672439804.0,-65454792.0,61552624724.0
Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung:,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung:,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung:,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung:,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung:,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung:,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung:,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung:,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung:,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung:,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung:,Tài sản của từng bộ phận không bao gồm các khoản mục sau vi những tài sản này được quản lý tập trung:,,,,,,,,,
Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,,,,,,,,,
Đầu tư tài chính ngắn hạn,Đơn vị tính: VND > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,1.597.283.769.241,623.137.545.208,277.100.000.000,5.301.140.518.918,53.203.013.018,352.185.506.849,2.075.254.316.933,-,10.279.304.670.16,1597283769241.0,623137545208.0,277100000000.0,5301140518918.0,53203013018.0,352185506849.0,2075254316933.0,,1027930467016.0
Phải thu về chuyển nhượng khoản đầu tư,Phải thu về chuyển nhượng khoản đầu tư,Phải thu về chuyển nhượng khoản đầu tư,Phải thu về chuyển nhượng khoản đầu tư,Phải thu về chuyển nhượng khoản đầu tư,Phải thu về chuyển nhượng khoản đầu tư,Phải thu về chuyển nhượng khoản đầu tư,Phải thu về chuyển nhượng khoản đầu tư,Phải thu về chuyển nhượng khoản đầu tư,Phải thu về chuyển nhượng khoản đầu tư,Phải thu về chuyển nhượng khoản đầu tư,Phải thu về chuyển nhượng khoản đầu tư,,,,,,,,,
Phải thu về cho vay ngắn,Phải thu về chuyển nhượng khoản đầu tư > Phải thu về cho vay ngắn,Phải thu về cho vay ngắn,183.599.077.308,-,-,-,-,-,229.936.355.431,(403.015.413.049),10.520.019.69,183599077308.0,,,,,,229936355431.0,-403015413049.0,1052001969.0
Thuế GTGT được khấu trừ,Phải thu về chuyển nhượng khoản đầu tư > Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,453.002.461.873,18.492.950.165,9.087.492.896,540.376.274,1.229.378.326,4.725.410.692,11.405.449.271,-,498.483.519.49,453002461873.0,18492950165.0,9087492896.0,540376274.0,1229378326.0,4725410692.0,11405449271.0,,49848351949.0
