row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúc",Máy móc thiết bị,Phương tiệnvận tải truyền dẫn,Thiết bịdụng cụ quản lý,Vườn câykinh doanh,Tài sảncố định khác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiệnvận tải truyền dẫn,numeric__Thiết bịdụng cụ quản lý,numeric__Vườn câykinh doanh,numeric__Tài sảncố định khác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,11.770.619.782.006,6.035.596.942.623,1.861.874.120.758,194.004.608.840,25.265.737.841.193,98.690.194.076,45.226.523.489.496,11770619782006.0,6035596942623.0,1861874120758.0,194004608840.0,25265737841193.0,98690194076.0,45226523489496.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,4.844.278.108,103.867.090.840,103.962.117.267,13.140.545.510,245.664.972.944,1.305.487.787,472.784.492.456,4844278108.0,103867090840.0,103962117267.0,13140545510.0,245664972944.0,1305487787.0,472784492456.0
- Đầu tư XDCB hoàn thành,Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,315.734.267.961,43.946.441.910,27.879.290.610,312.176.364,3.933.900.988.598,1.341.004.913,4.323.114.170.356,315734267961.0,43946441910.0,27879290610.0,312176364.0,3933900988598.0,1341004913.0,4323114170356.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,9.910.289.114,880.822.803,534.997.308,107.789.091,93.707.832.718,-,105.141.731.034,9910289114.0,880822803.0,534997308.0,107789091.0,93707832718.0,,105141731034.0
- Chênh lệch do chuyển đổi BCTC,Nguyên giá > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,(115.048.189.839),(20.526.289.250),(23.411.205.351),(1.075.100.545),(490.865.211.506),-,(650.925.996.491),-115048189839.0,-20526289250.0,-23411205351.0,-1075100545.0,-490865211506.0,,-650925996491.0
- Tăng do phân loại lại,Nguyên giá > - Tăng do phân loại lại,- Tăng do phân loại lại,6.425.218.778,297.450.141,42.393.200.363,5.442.051.299,301.995.182,5.437.479.579,60.297.395.342,6425218778.0,297450141.0,42393200363.0,5442051299.0,301995182.0,5437479579.0,60297395342.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(65.148.400.198),(10.734.397.859),(47.237.899.907),(247.413.286),(307.108.396.876),-,(430.476.508.126),-65148400198.0,-10734397859.0,-47237899907.0,-247413286.0,-307108396876.0,,-430476508126.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(9.455.207.611),(1.282.796.735),-,(3.939.780.871),(40.121.657.669),-,(54.799.442.886),-9455207611.0,-1282796735.0,,-3939780871.0,-40121657669.0,,-54799442886.0
- Giảm do phân loại lại,Nguyên giá > - Giảm do phân loại lại,- Giảm do phân loại lại,(38.742.330.685),(20.430.103.869),(358.959.465),-,-,(766.001.323),(60.297.395.342),-38742330685.0,-20430103869.0,-358959465.0,,,-766001323.0,-60297395342.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,11.879.139.707.635,6.131.615.160.604,1.965.635.661.583,207.744.876.402,28.701.218.364.584,106.008.165.032,48.991.361.935.839,11879139707635.0,6131615160604.0,1965635661583.0,207744876402.0,28701218364584.0,106008165032.0,48991361935839.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,5.846.227.127.559,3.315.246.419.111,1.284.307.364.993,163.958.730.159,4.100.092.046.957,69.393.228.455,14.779.224.917.234,5846227127559.0,3315246419111.0,1284307364993.0,163958730159.0,4100092046957.0,69393228455.0,14779224917234.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,541.306.709.570,403.883.702.365,99.934.408.580,6.363.529.994,1.135.786.755.303,4.149.941.490,2.191.425.047.302,541306709570.0,403883702365.0,99934408580.0,6363529994.0,1135786755303.0,4149941490.0,2191425047302.0
- Tăng khác,Giá trị hao mòn lũy kế > - Tăng khác,- Tăng khác,9.156.783.113,1.481.758.369,313.741.347,23.673.039,32.417.624.421,-,43.393.580.289,9156783113.0,1481758369.0,313741347.0,23673039.0,32417624421.0,,43393580289.0
- Chênh lệch do chuyển đổi BCTC,Giá trị hao mòn lũy kế > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,(56.256.184.029),(8.903.775.976),(9.981.450.612),(501.717.765),(95.086.547.652),-,(170.729.676.034),-56256184029.0,-8903775976.0,-9981450612.0,-501717765.0,-95086547652.0,,-170729676034.0
- Tăng do phân loại lại,Giá trị hao mòn lũy kế > - Tăng do phân loại lại,- Tăng do phân loại lại,2.058.390.540,254.704.923,21.163.603.805,5.418.350.678,287.829.958,4.668.695.927,33.851.575.831,2058390540.0,254704923.0,21163603805.0,5418350678.0,287829958.0,4668695927.0,33851575831.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(32.855.002.103),(9.789.418.539),(46.392.507.481),(247.413.286),(175.185.075.410),-,(264.469.416.819),-32855002103.0,-9789418539.0,-46392507481.0,-247413286.0,-175185075410.0,,-264469416819.0
- Giảm khác,Giá trị hao mòn lũy kế > - Giảm khác,- Giảm khác,(8.697.569.574),(1.213.022.190),(453.540.000),(2.394.657.083),(11.988.585.952),-,(24.747.374.799),-8697569574.0,-1213022190.0,-453540000.0,-2394657083.0,-11988585952.0,,-24747374799.0
- Giảm do phân loại lại,Giá trị hao mòn lũy kế > - Giảm do phân loại lại,- Giảm do phân loại lại,(15.184.368.069),(18.428.489.482),411.599.236,-,-,(650.317.516),(33.851.575.831),-15184368069.0,-18428489482.0,411599236.0,,,-650317516.0,-33851575831.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,6.285.755.887.007,3.682.531.878.581,1.349.303.219.868,172.620.495.736,4.986.324.047.625,77.561.548.356,16.554.097.077.173,6285755887007.0,3682531878581.0,1349303219868.0,172620495736.0,4986324047625.0,77561548356.0,16554097077173.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,,,,,
- Tại ngày đầu năm,Giá trị còn lại > - Tại ngày đầu năm,- Tại ngày đầu năm,5.924.392.654.447,2.720.350.523.512,577.566.755.765,30.045.878.681,21.165.645.794.236,29.296.965.621,30.447.298.572.262,5924392654447.0,2720350523512.0,577566755765.0,30045878681.0,21165645794236.0,29296965621.0,30447298572262.0
- Tại ngày cuối năm,Giá trị còn lại > - Tại ngày cuối năm,- Tại ngày cuối năm,5.593.383.820.627,2.449.083.282.023,616.332.441.715,35.124.380.666,23.714.894.316.959,28.446.616.676,32.437.264.858.666,5593383820627.0,2449083282023.0,616332441715.0,35124380666.0,23714894316959.0,28446616676.0,32437264858666.0
