row_label_raw,row_label_full,Stt,"Tên công ty liên kết, liên doanh",Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Hoạt động kinh doanh chính,"numeric__Tên công ty liên kết, liên doanh",numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Hoạt động kinh doanh chính
7,7,7,Công ty Cổ phần Đầu tư và Phát triển VRG Long Thành,"Lô E, KCN Lộc An, Bình Sơn, xã Bình Sơn, huyện Long Thành, Tỉnh Fồng Nai.","31,00%","31,00%","Xây dựng hạ tầng khu công nghiệp, nhà, cơ sở hạ tầng kỹ thuật đô thị, khu dân cư, khu kinh tế; Đầu tư xây dựng công trình thủy điện, nhiệt điện: Kinh doanh điện, nước trong khu công nghiệp và đô thị",,,0.31,0.31,
8,8,8,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,"Số 636 đường Võ Văn Kiệt, phường 1, quận 5, TP. Hồ Chí Minh","27,14%","27,14%","Khai hoang, trồng mới, chăm sóc, khai thác, chế biến và mua bán các sản phẩm từ cây cao su; sản xuất mua bán, chế biến nông lâm sản xuất khẩu",,,0.27140000000000003,0.27140000000000003,
9,9,9,Công ty Cổ phần Cao su Bến Thành,"Lô B3,1 KCN Tây Bắc Cù Chi, TP. Hồ Chí Minh","48,85%","48,85%","Sản xuất và mua bán sản phẩm cao su; Băng tải, dây curroie, cao su nguyên liệu, sản phẩm cao su kỹ thuật",,,0.4885,0.4885,
10,10,10,Công ty Cổ phần Xây dựng Cao su Đồng Nai,"Đường số 1, ấp Trung Tâm, xã Xuân Lập, thị xã Long Khánh, tỉnh Đồng Nai","35,88%","41,50%","Xây dựng công trình dân dụng, công nghiệp, giao thông, thuỷ lợi; Sản xuất vật liệu xây dựng: Bêtông tưới, bêtông nhựa nóng, ống công, cấu kiện bê tông đục sẵn; Trồng, khai thác, chế biến và mua bán sản phẩm cây nông nghiệp và công nghiệp",,,0.3588,0.415,
11,11,11,Công ty Cổ phần Lộc Thịnh,"KCN Nhơn Trạch 2, Lộc Khang, xã Hiệp Phước, huyện Nhơn Trạch, tỉnh Đồng Nai","32,59%","32,59%","Xây dựng công trình đường sắt và đường bộ; Xây dựng công trình giao thông; Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê; Đầu tư xây dựng hạ tầng khu công nghiệp",,,0.3259,0.3259,
12,12,12,Công ty Cổ phần Chỉ sợi Cao su V.R.G SA DO,"Lô K5, K6, K7 Đường N9A, KCN Dầu Giấy, xã Bầu Hàm 2, huyện Thông Nhất, tỉnh Đồng Nai","49,06%","49,06%","Sản xuất sợi nhân tạo, sản xuất sản phẩm khác từ cao su",,,0.49060000000000004,0.49060000000000004,
13,13,13,Công ty TNHH Đô thị và Công nghiệp Nam Tân Uyên,"Đường ĐT 747 Khu phố Bình Khánh, Phường Khánh Bình, TX Tân Uyên, Tỉnh Bình Dương","8,46%","20,00%","Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê; Xây dựng nhà các loại; Xây dựng công trình đường sắt và đường bộ",,,0.08460000000000001,0.2,
14,14,14,Công ty Cổ phần Chế biến gỗ Cao su Chư Pãh,"Khu Công nghiệp Ia Khurol, thôn Tân Lập, xã Ia Khurol, huyện Chư Pãh, tỉnh Gia Lai","34,32%","34,32%","Khai thác gỗ; Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rom, rạ và vật liệu tert bên",,,0.3432,0.3432,
15,15,15,Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,"Số 16 Võ Liêm Sơn, TP. Hà Tĩnh, tỉnh Hà Tĩnh","36,00%","36,00%",Khai thác khoáng hoá chất và khoáng phân bón; Thoát nước và xử lý nước thải Xây dựng công trình kỹ thuật dân dụng,,,0.36,0.36,
16,16,16,Công ty Cổ phần Cao su Dầu Tiếng Việt Lào,"Khu phố 3, thị trấn Dầu Tiếng, huyện Dầu Tiếng, tỉnh Bình Dương","49,00%","49,00%","Trồng, chăm sóc, khai thác, chế biến cao su tại Lào",,,0.49,0.49,
