row_label_raw,row_label_full,08. Hàng tồn kho,31/12/2021,31/12/2021_1,01/01/2021,01/01/2021_1,numeric__31/12/2021,numeric__31/12/2021_1,numeric__01/01/2021,numeric__01/01/2021_1
08. Hàng tồn kho,08. Hàng tồn kho,08. Hàng tồn kho,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Hàng mua đang di đường,08. Hàng tồn kho > Hàng mua đang di đường,Hàng mua đang di đường,19.210.474.292,-,15.694.194.323,-,19210474292.0,,15694194323.0,
"Nguyên liệu, vật liệu tồn kho","08. Hàng tồn kho > Nguyên liệu, vật liệu tồn kho","Nguyên liệu, vật liệu tồn kho",340.229.144.364,(845.444.390),261.638.472.482,-,340229144364.0,-845444390.0,261638472482.0,
"Công cụ, dụng cụ trong kho","08. Hàng tồn kho > Công cụ, dụng cụ trong kho","Công cụ, dụng cụ trong kho",249.185.658.615,-,221.593.395.070,-,249185658615.0,,221593395070.0,
Chi phí SXKD dở dang,08. Hàng tồn kho > Chi phí SXKD dở dang,Chi phí SXKD dở dang,810.994.068.693,-,773.188.536.874,-,810994068693.0,,773188536874.0,
Thành phẩm tồn kho,08. Hàng tồn kho > Thành phẩm tồn kho,Thành phẩm tồn kho,1.799.071.073.954,(13.019.409.505),575.191.595.456,(10.392.086.856),1799071073954.0,-13019409505.0,575191595456.0,-10392086856.0
Hàng hóa tồn kho,08. Hàng tồn kho > Hàng hóa tồn kho,Hàng hóa tồn kho,255.433.450.413,(48.473.031.315),156.515.717.763,(4.508.754.593),255433450413.0,-48473031315.0,156515717763.0,-4508754593.0
Hàng gửi đi bán,08. Hàng tồn kho > Hàng gửi đi bán,Hàng gửi đi bán,45.114.733.427,-,76.631.028.458,-,45114733427.0,,76631028458.0,
Hàng hóa bất động sản,08. Hàng tồn kho > Hàng hóa bất động sản,Hàng hóa bất động sản,13.745.601.075,-,13.745.601.075,-,13745601075.0,,13745601075.0,
Cộng,08. Hàng tồn kho > Cộng,Cộng,3.532.984.204.833,(62.337.885.210),2.094.198.541.501,(14.900.841.449),3532984204833.0,-62337885210.0,2094198541501.0,-14900841449.0
