row_label_raw,row_label_full,04.1. Trả trước cho người bán ngắn hạn,31/12/2021,01/01/2021,numeric__31/12/2021,numeric__01/01/2021
Trả trước người bán về hàng hóa nội địa,Trả trước người bán về hàng hóa nội địa,Trả trước người bán về hàng hóa nội địa,116.023.899.528,122.711.901.785,116023899528.0,122711901785.0
Trả trước người bán về hàng hóa nhập khẩu,Trả trước người bán về hàng hóa nhập khẩu,Trả trước người bán về hàng hóa nhập khẩu,3.941.322.909,39.810.166.516,3941322909.0,39810166516.0
"Trả trước người bán về thi công, xây lắp công trình xây dựng","Trả trước người bán về thi công, xây lắp công trình xây dựng","Trả trước người bán về thi công, xây lắp công trình xây dựng",204.936.493.276,215.614.445.537,204936493276.0,215614445537.0
Trả trước người bán về dịch vụ nội địa được cung cấp,Trả trước người bán về dịch vụ nội địa được cung cấp,Trả trước người bán về dịch vụ nội địa được cung cấp,71.311.251.216,65.008.550.388,71311251216.0,65008550388.0
Trả trước người bán khác,Trả trước người bán khác,Trả trước người bán khác,114.650.659.186,82.329.324.393,114650659186.0,82329324393.0
Cộng,Cộng,Cộng,510.863.626.115,525.474.388.619,510863626115.0,525474388619.0
04.2. Trả trước cho người bán dài hạn,04.2. Trả trước cho người bán dài hạn,04.2. Trả trước cho người bán dài hạn,31/12/2021,01/01/2021,,
Trả trước người bán về hàng hóa nội địa,04.2. Trả trước cho người bán dài hạn > Trả trước người bán về hàng hóa nội địa,Trả trước người bán về hàng hóa nội địa,-,344.914.185,,344914185.0
"Trả trước người bán về thi công, xây lắp công trình xây dựng","04.2. Trả trước cho người bán dài hạn > Trả trước người bán về thi công, xây lắp công trình xây dựng","Trả trước người bán về thi công, xây lắp công trình xây dựng",191.700.000,191.700.000,191700000.0,191700000.0
Trả trước người bán khác,04.2. Trả trước cho người bán dài hạn > Trả trước người bán khác,Trả trước người bán khác,74.550.209.565,75.694.846.024,74550209565.0,75694846024.0
Cộng,04.2. Trả trước cho người bán dài hạn > Cộng,Cộng,74.741.909.565,76.231.460.209,74741909565.0,76231460209.0
