row_label_raw,row_label_full,06.1 Phải thu ngắn hạn khác,31/12/2021,01/01/2021,numeric__31/12/2021,numeric__01/01/2021
- Lãi vay phải thu về cho vay,- Lãi vay phải thu về cho vay,- Lãi vay phải thu về cho vay,77.639.815.340,123.316.793.490,77639815340.0,123316793490.0
- Lãi dự thu,- Lãi dự thu,- Lãi dự thu,181.815.510.919,125.610.437.955,181815510919.0,125610437955.0
- Tạm ứng,- Tạm ứng,- Tạm ứng,126.658.332.359,100.402.763.005,126658332359.0,100402763005.0
"- Cảm cố, ký quỹ, ký cược","- Cảm cố, ký quỹ, ký cược","- Cảm cố, ký quỹ, ký cược",20.934.352.053,77.486.453.953,20934352053.0,77486453953.0
- Phải thu về cố phần hóa,- Phải thu về cố phần hóa,- Phải thu về cố phần hóa,-,132.017.301.238,,132017301238.0
- Phải thu về cố tức và lợi nhuận được chia,- Phải thu về cố tức và lợi nhuận được chia,- Phải thu về cố tức và lợi nhuận được chia,18.158.650.432,17.817.764.647,18158650432.0,17817764647.0
- Phải thu người lao động,- Phải thu người lao động,- Phải thu người lao động,34.397.002.468,52.612.744.257,34397002468.0,52612744257.0
- Phải thu về các khoản bảo hiểm,- Phải thu về các khoản bảo hiểm,- Phải thu về các khoản bảo hiểm,2.562.778.973,14.882.790.785,2562778973.0,14882790785.0
- Phải thu về các khoản góp vốn hợp tác kinh doanh,- Phải thu về các khoản góp vốn hợp tác kinh doanh,- Phải thu về các khoản góp vốn hợp tác kinh doanh,13.799.351.932,14.030.768.751,13799351932.0,14030768751.0
- Phải thu ngắn hạn khác,- Phải thu ngắn hạn khác,- Phải thu ngắn hạn khác,709.367.707.338,642.861.672.328,709367707338.0,642861672328.0
Cộng,Cộng,Cộng,1.185.333.501.814,1.301.039.490.409,1185333501814.0,1301039490409.0
