row_label_raw,row_label_full,Chỉ tiêu > Thuế giá trị gia tăng nội địa > Thuế giá trị gia tăng nhập khẩu,01/01/2021 > 80.229.470.053 > -,Số phải nộp trong năm > 903.643.830.579 > 54.132.897.573,Số thực nộp trong năm > (903.063.070.964) > (54.132.897.573),31/12/2021 > 80.810.229.668 > -,numeric__01/01/2021 > 80.229.470.053 > -,numeric__Số phải nộp trong năm > 903.643.830.579 > 54.132.897.573,numeric__Số thực nộp trong năm > (903.063.070.964) > (54.132.897.573),numeric__31/12/2021 > 80.810.229.668 > -
"Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu",(248.466.513),52.608.347.231,(52.013.721.234),346.159.484,-248466513.0,52608347231.0,-52013721234.0,346159484.0
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,-,2.794.267.145,(2.794.267.145),-,,2794267145.0,-2794267145.0,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,249.059.987.035,985.914.881.372,(1.180.392.952.138),54.581.916.269,249059987035.0,985914881372.0,-1180392952138.0,54581916269.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,6.667.521.392,51.003.567.385,(50.502.103.950),7.168.984.827,6667521392.0,51003567385.0,-50502103950.0,7168984827.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",(18.622.703.116),715.734.639.246,(613.123.917.266),83.988.018.864,-18622703116.0,715734639246.0,-613123917266.0,83988018864.0
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,4.530.998.262,(4.282.858.777),(250.173.535),(2.034.050),4530998262.0,-4282858777.0,-250173535.0,-2034050.0
Thuế môn bài,Thuế môn bài,Thuế môn bài,-,273.446.482,(273.446.482),-,,273446482.0,-273446482.0,
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,(182.271.907),91.628.641.614,(89.096.980.013),2.349.389.694,-182271907.0,91628641614.0,-89096980013.0,2349389694.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,(14.129.794.733),58.283.816.900,(33.739.172.676),10.414.849.491,-14129794733.0,58283816900.0,-33739172676.0,10414849491.0
"Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác","Các khoản phí, lệ phí và các khoản phải nộp khác",(16.045.062.798),29.378.157.282,(34.901.901.967),(21.568.807.483),-16045062798.0,29378157282.0,-34901901967.0,-21568807483.0
Cộng,Cộng,Cộng,291.259.677.675,2.941.113.634.032,(3.014.284.604.943),218.088.706.764,291259677675.0,2941113634032.0,-3014284604943.0,218088706764.0
