row_label_raw,row_label_full,Tại ngày cuối năm,Trên 01 năm > Từ 01 năm trở xuống,Trên 01 năm > đến 05 năm,Trên 01 năm > Trên 05 năm,Trên 01 năm > Tổng cộng,numeric__Trên 01 năm > Từ 01 năm trở xuống,numeric__Trên 01 năm > đến 05 năm,numeric__Trên 01 năm > Trên 05 năm,numeric__Trên 01 năm > Tổng cộng
"Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",3.349.480.991.313,376.847.423.405,0,3.726.328.414.718,3349480991313.0,376847423405.0,0.0,3726328414718.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,473.482.247.217,101.771.974.346,0,575.254.221.563,473482247217.0,101771974346.0,0.0,575254221563.0
Vay và nợ,Vay và nợ,Vay và nợ,2.661.903.488.666,251.765.036.124,6.091.778.745.550,9.005.447.270.340,2661903488666.0,251765036124.0,6091778745550.0,9005447270340.0
Cộng,Cộng,Cộng,6.484.866.727.196,730.384.433.875,6.091.778.745.550,13.307.029.906.621,6484866727196.0,730384433875.0,6091778745550.0,13307029906621.0
