row_label_raw,row_label_full,Chỉ tiêu > Số dư đầu năm nay > - Tăng trong năm > - Lãi/lỗ trong năm > - Giảm trong năm,Quỹ đầu tư phát triển > 2.916.343.879.221 > 528.765.863.262,Quỹ khác thuộc vốn chủ sở hữu > 4.734.438.595 > 2.251.905.732,Nguồn vốn đầu tư XDCB > -,LNST thuế chưa phân phối > 4.232.280.829.673 > 3.770.729.889.631 > (3.428.021.567.506),Lợi ích cổ đông không kiểm soát > 3.776.406.003.796 > 1.305.623.721.619 > (1.238.684.703.506),Cộng > 90.120.647.090.969 > 645.665.530.288 > 5.076.353.611.250 > (4.935.770.597.772),numeric__Quỹ đầu tư phát triển > 2.916.343.879.221 > 528.765.863.262,numeric__Quỹ khác thuộc vốn chủ sở hữu > 4.734.438.595 > 2.251.905.732,numeric__Nguồn vốn đầu tư XDCB > -,numeric__LNST thuế chưa phân phối > 4.232.280.829.673 > 3.770.729.889.631 > (3.428.021.567.506),numeric__Lợi ích cổ đông không kiểm soát > 3.776.406.003.796 > 1.305.623.721.619 > (1.238.684.703.506),numeric__Cộng > 90.120.647.090.969 > 645.665.530.288 > 5.076.353.611.250 > (4.935.770.597.772)
- Giảm khác,- Giảm khác,- Giảm khác,,,,,,-,,,,,,
Số dư đầu năm nay,- Giảm khác > Số dư đầu năm nay,Số dư đầu năm nay,3.445.109.742.483,6.986.344.327,-,4.574.989.151.798,3.843.345.021.909,51.388.662.947.626,3445109742483.0,6986344327.0,,4574989151798.0,3843345021909.0,51388662947626.0
- Tăng trong năm,- Giảm khác > - Tăng trong năm,- Tăng trong năm,688.257.890.102,,-,,,784.089.755.273,688257890102.0,,,,,784089755273.0
- Lãi/lỗ trong năm,- Giảm khác > - Lãi/lỗ trong năm,- Lãi/lỗ trong năm,,,,4.158.196.263.511,1.181.850.295.571,5.340.046.559.082,,,,4158196263511.0,1181850295571.0,5340046559082.0
- Giảm trong năm,- Giảm khác > - Giảm trong năm,- Giảm trong năm,,(5.721.770.085),,(4.101.594.514.168),(974.400.861.282),(5.663.598.093.915),,-5721770085.0,,-4101594514168.0,-974400861282.0,-5663598093915.0
Số dư cuối năm,- Giảm khác > Số dư cuối năm,Số dư cuối năm,4.133.367.632.585,1.264.574.242,-,4.631.590.901.141,4.050.794.456.198,51.849.201.168.066,4133367632585.0,1264574242.0,,4631590901141.0,4050794456198.0,51849201168066.0
