row_label_raw,row_label_full,col_0,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị_1,Số có khả năng trả nợ_1,numeric__Giá trị,numeric__Số có khả năng trả nợ,numeric__Tăng,numeric__Giảm,numeric__Giá trị_1,numeric__Số có khả năng trả nợ_1
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,2.661.903.488.666,2.661.903.488.666,4.010.299.119.533,5.120.655.256.727,3.772.259.625.860,3.772.259.625.860,2661903488666.0,2661903488666.0,4010299119533.0,5120655256727.0,3772259625860.0,3772259625860.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,1.144.898.988.563,1.144.898.988.563,3.040.196.842.992,4.016.489.790.618,2.121.191.936.189,2.121.191.936.189,1144898988563.0,1144898988563.0,3040196842992.0,4016489790618.0,2121191936189.0,2121191936189.0
- Các khoản di vay,- Các khoản di vay,- Các khoản di vay,1.144.898.988.563,1.144.898.988.563,3.040.196.842.992,4.016.489.790.618,2.121.191.936.189,2.121.191.936.189,1144898988563.0,1144898988563.0,3040196842992.0,4016489790618.0,2121191936189.0,2121191936189.0
- Nợ thuê tài chính,- Nợ thuê tài chính,- Nợ thuê tài chính,-,-,,,-,-,,,,,,
- Trái phiếu phát hành,- Trái phiếu phát hành,- Trái phiếu phát hành,-,-,-,-,-,-,,,,,,
Nợ dài hạn đến hạn trả,- Trái phiếu phát hành > Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,1.517.004.500.103,1.517.004.500.103,970.102.276.541,1.104.165.466.109,1.651.067.689.671,1.651.067.689.671,1517004500103.0,1517004500103.0,970102276541.0,1104165466109.0,1651067689671.0,1651067689671.0
- Các khoản di vay,- Trái phiếu phát hành > - Các khoản di vay,- Các khoản di vay,1.517.004.500.103,1.517.004.500.103,970.102.276.541,1.104.165.466.109,1.651.067.689.671,1.651.067.689.671,1517004500103.0,1517004500103.0,970102276541.0,1104165466109.0,1651067689671.0,1651067689671.0
- Nợ thuê tài chính,- Nợ thuê tài chính,- Nợ thuê tài chính,-,-,,,-,-,,,,,,
- Trái phiếu phát hành,- Trái phiếu phát hành,- Trái phiếu phát hành,-,-,-,-,-,-,,,,,,
b. Dài hạn,- Trái phiếu phát hành > b. Dài hạn,b. Dài hạn,6.343.543.781.674,6.343.543.781.674,341.944.372.254,2.333.614.578.088,8.335.213.987.508,8.335.213.987.508,6343543781674.0,6343543781674.0,341944372254.0,2333614578088.0,8335213987508.0,8335213987508.0
- Các khoản di vay,- Trái phiếu phát hành > - Các khoản di vay,- Các khoản di vay,6.343.543.781.674,6.343.543.781.674,341.944.372.254,2.333.614.578.088,8.335.213.987.508,8.335.213.987.508,6343543781674.0,6343543781674.0,341944372254.0,2333614578088.0,8335213987508.0,8335213987508.0
- Nợ thuê tài chính,- Nợ thuê tài chính,- Nợ thuê tài chính,-,-,-,,-,-,,,,,,
- Trái phiếu phát hành,- Trái phiếu phát hành,- Trái phiếu phát hành,-,-,-,-,-,-,,,,,,
Cộng,- Trái phiếu phát hành > Cộng,Cộng,9.005.447.270.340,9.005.447.270.340,4.352.243.491.787,7.454.269.834.815,12.107.473.613.368,12.107.473.613.368,9005447270340.0,9005447270340.0,4352243491787.0,7454269834815.0,12107473613368.0,12107473613368.0
