row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,"Bản quyền, bằng sáng chế","Phần mềm, bản quyền máy tính",Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Bản quyền, bằng sáng chế","numeric__Phần mềm, bản quyền máy tính",numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,121.791.779.591,996.381.619,50.642.156.192,11.841.511.644,185.271.829.046,121791779591.0,996381619.0,50642156192.0,11841511644.0,185271829046.0
- Mua trong năm,Nguyên giá TSCĐ vô hình > - Mua trong năm,- Mua trong năm,2.312.500.000,,3.022.217.993,9.626.151.268,14.960.869.261,2312500000.0,,3022217993.0,9626151268.0,14960869261.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(1.038.850.400),,(149.453.518),-,(1.188.303.918),-1038850400.0,,-149453518.0,,-1188303918.0
- Chênh lệch do chuyển đổi BCTC,Nguyên giá TSCĐ vô hình > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,(143.351.013),,(213.463.514),(20.774.275),(377.588.802),-143351013.0,,-213463514.0,-20774275.0,-377588802.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,122.922.078.178,996.381.619,53.301.457.153,21.446.888.637,198.666.805.587,122922078178.0,996381619.0,53301457153.0,21446888637.0,198666805587.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,22.565.413.529,722.561.289,41.622.755.614,6.510.948.114,71.421.678.546,22565413529.0,722561289.0,41622755614.0,6510948114.0,71421678546.0
- Khấu hao trong kỳ,Giá trị hao mòn lũy kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,1.950.331.821,9.122.126,3.023.791.008,1.905.582.587,6.888.827.542,1950331821.0,9122126.0,3023791008.0,1905582587.0,6888827542.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(149.453.518),-,(149.453.518),,,-149453518.0,,-149453518.0
- Chênh lệch do chuyển đổi BCTC,Giá trị hao mòn lũy kế > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,(28.101.682),-,(250.124.655),(583.388),(278.809.725),-28101682.0,,-250124655.0,-583388.0,-278809725.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,24.487.643.668,731.683.415,44.246.968.449,8.415.947.313,77.882.242.845,24487643668.0,731683415.0,44246968449.0,8415947313.0,77882242845.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,,,,,,,
- Tại ngày đầu năm,Giá trị còn lại của TSCĐ vô hình > - Tại ngày đầu năm,- Tại ngày đầu năm,99.226.366.062,273.820.330,9.019.400.578,5.330.563.530,113.850.150.500,99226366062.0,273820330.0,9019400578.0,5330563530.0,113850150500.0
- Tại ngày cuối năm,Giá trị còn lại của TSCĐ vô hình > - Tại ngày cuối năm,- Tại ngày cuối năm,98.434.434.510,264.698.204,9.054.488.704,13.030.941.324,120.784.562.742,98434434510.0,264698204.0,9054488704.0,13030941324.0,120784562742.0
