row_label_raw,row_label_full,15. Tài sản dở dang dài hạn,31/12/2021,01/01/2021,numeric__31/12/2021,numeric__01/01/2021
"- Chi phí SX, KD dở dang dài hạn","- Chi phí SX, KD dở dang dài hạn","- Chi phí SX, KD dở dang dài hạn",187.354.198.520,94.510.332.841,187354198520.0,94510332841.0
- Chi phí xây dựng cơ bản dở dang,- Chi phí xây dựng cơ bản dở dang,- Chi phí xây dựng cơ bản dở dang,14.542.004.936.468,17.907.211.224.195,14542004936468.0,17907211224195.0
+ Vườn cây cao su KTCB,+ Vườn cây cao su KTCB,+ Vườn cây cao su KTCB,12.511.566.019.142,15.987.135.192.461,12511566019142.0,15987135192461.0
+ Vườn cây khác,+ Vườn cây khác,+ Vườn cây khác,56.119.039.111,42.675.903.135,56119039111.0,42675903135.0
"+ Nhà máy, dây chuyển chế biến cao su","+ Nhà máy, dây chuyển chế biến cao su","+ Nhà máy, dây chuyển chế biến cao su",143.944.573.336,131.784.048.325,143944573336.0,131784048325.0
"+ Đường giao thông, đập thủy lợi","+ Đường giao thông, đập thủy lợi","+ Đường giao thông, đập thủy lợi",61.273.255.351,1.930.750.375,61273255351.0,1930750375.0
"+ Các công trình kiến trúc, cơ sở hạ tầng","+ Các công trình kiến trúc, cơ sở hạ tầng","+ Các công trình kiến trúc, cơ sở hạ tầng",911.103.889.461,587.121.541.114,911103889461.0,587121541114.0
+ Mua sắm tài sản cố định,+ Mua sắm tài sản cố định,+ Mua sắm tài sản cố định,18.798.869.022,12.208.698.336,18798869022.0,12208698336.0
+ Chi phí xây dựng cơ bản dở dang khác,+ Chi phí xây dựng cơ bản dở dang khác,+ Chi phí xây dựng cơ bản dở dang khác,839.199.291.045,1.144.355.090.449,839199291045.0,1144355090449.0
Cộng,Cộng,Cộng,14.729.359.134.988,18.001.721.557.036,14729359134988.0,18001721557036.0
