row_label_raw,row_label_full,chính,Đầu năm,Cuối năm,numeric__Đầu năm,numeric__Cuối năm
"Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",3.681.395.900.885,3.726.328.414.718,3681395900885.0,3726328414718.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,469.969.696.069,575.254.221.563,469969696069.0,575254221563.0
Vay và nợ,Vay và nợ,Vay và nợ,12.107.473.613.368,9.005.447.270.340,12107473613368.0,9005447270340.0
Cộng,Cộng,Cộng,16.258.839.210.322,13.307.029.906.621,16258839210322.0,13307029906621.0
