row_label_raw,row_label_full,Chỉ tiêu,Sản xuất và kinh doanh mũ cao su,Sản xuất và kinh doanh các sản phẩm từ cao su,Chế biến gỗ,"Xây dựng, hát động sản, cơ sở hạ tầng","Dịch vụ du lịch, nhà hàng, khách sạn",Kinh doanh điện năng,Hoạt động kinh doanh khác,Điều chính và loại trừ,Tổng cộng,numeric__Sản xuất và kinh doanh mũ cao su,numeric__Sản xuất và kinh doanh các sản phẩm từ cao su,numeric__Chế biến gỗ,"numeric__Xây dựng, hát động sản, cơ sở hạ tầng","numeric__Dịch vụ du lịch, nhà hàng, khách sạn",numeric__Kinh doanh điện năng,numeric__Hoạt động kinh doanh khác,numeric__Điều chính và loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,,,,,
Doanh thu thuần cho bên thứ ba,Doanh thu thuần > Doanh thu thuần cho bên thứ ba,Doanh thu thuần cho bên thứ ba,17.732.633.156.070,2.347.662.990.530,3.594.606.691.735,866.549.551.819,480.000.000,559.571.476.339,1.088.089.134.655,-,26.189.593.001.148,17732633156070.0,2347662990530.0,3594606691735.0,866549551819.0,480000000.0,559571476339.0,1088089134655.0,,26189593001148.0
Doanh thu thuần giữa các bộ phận (1),Doanh thu thuần > Doanh thu thuần giữa các bộ phận (1),Doanh thu thuần giữa các bộ phận (1),(3.086.028.548.135),-,3.964.693.885,2.703.889.877,-,(9.989.989),392.197.085.867,2.687.172.868.495,-,-3086028548135.0,,3964693885.0,2703889877.0,,-9989989.0,392197085867.0,2687172868495.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,14.646.604.607.935,2.347.662.990.530,3.598.571.385.620,869.253.441.696,480.000.000,559.561.486.350,1.480.286.220.522,2.687.172.868.495,26.189.593.001.148,14646604607935.0,2347662990530.0,3598571385620.0,869253441696.0,480000000.0,559561486350.0,1480286220522.0,2687172868495.0,26189593001148.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,,
Khẩu hao tài sản cố định,Kết quả hoạt động kinh doanh > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,1.277.446.946.136,151.116.245.976,191.897.867.576,19.447.817.245,(8.223.060.444),127.737.121.130,16.385.335.580,-,1.775.808.273.199,1277446946136.0,151116245976.0,191897867576.0,19447817245.0,-8223060444.0,127737121130.0,16385335580.0,,1775808273199.0
Phân được chia từ lãi/(lỗ) của công ty liên kết,Kết quả hoạt động kinh doanh > Phân được chia từ lãi/(lỗ) của công ty liên kết,Phân được chia từ lãi/(lỗ) của công ty liên kết,(9.606.581.410),-,268.320.897.072,26.738.961.691,-,-,-,-,285.453.277.353~,-9606581410.0,,268320897072.0,26738961691.0,,,,,
Thu nhập/(lỗ) trước thuế theo bộ phận (2),Kết quả hoạt động kinh doanh > Thu nhập/(lỗ) trước thuế theo bộ phận (2),Thu nhập/(lỗ) trước thuế theo bộ phận (2),3.553.945.849.637,766.062.586.821,448.599.181.692,512.883.611.367,(10.434.756.206),230.570.124.799,11.897.341.374,158.144.621.798,5.671.668.561.282,3553945849637.0,766062586821.0,448599181692.0,512883611367.0,-10434756206.0,230570124799.0,11897341374.0,158144621798.0,5671668561282.0
Tổng tài sản (3),Kết quả hoạt động kinh doanh > Tổng tài sản (3),Tổng tài sản (3),51.689.780.727.430,1.337.293.139.948,3.531.029.852.349,6.656.723.482.405,55.137.700.805,2.554.719.147.290,4.243.212.141.650,(6.037.809.579.001),64.030.086.612.876,51689780727430.0,1337293139948.0,3531029852349.0,6656723482405.0,55137700805.0,2554719147290.0,4243212141650.0,-6037809579001.0,64030086612876.0
Tổng nợ phải trả (4),Kết quả hoạt động kinh doanh > Tổng nợ phải trả (4),Tổng nợ phải trả (4),10.225.308.775.191,598.725.110.554,689.542.061.173,10.108.868.632.484,54.994.500.144,89.632.693.378,465.084.223.511,(4.679.149.315.027),17.553.006.681.408,10225308775191.0,598725110554.0,689542061173.0,10108868632484.0,54994500144.0,89632693378.0,465084223511.0,-4679149315027.0,17553006681408.0
